START_HUB,END_HUB,NUM
阿克苏,阿克苏,343.935485
阿克苏,安庆,3.967741
阿克苏,蚌埠,6.677421
阿克苏,包头,1.967743
阿克苏,保定,4.806452
阿克苏,宝鸡,6.612903
阿克苏,北京,59.096774
阿克苏,常德,5.290323
阿克苏,常州,7.000001
阿克苏,长春,21.96774
阿克苏,长沙,37.67742
阿克苏,成都,110.741934
阿克苏,大理州,6.709675
阿克苏,大连,16.774193
阿克苏,东莞,19.354839
阿克苏,福州,14.322581
阿克苏,赣州,6.645161
阿克苏,广州,74.677425
阿克苏,贵阳,17.193548
阿克苏,哈尔滨,24.774197
阿克苏,海口,6.677419
阿克苏,杭州,32.903224
阿克苏,合肥,21.451614
阿克苏,衡阳,9
阿克苏,侯马,10.516129
阿克苏,呼和浩特,8.838708
阿克苏,湖州,4.645161
阿克苏,淮安,1.806451
阿克苏,济南,31.870968
阿克苏,济宁,4.741935
阿克苏,嘉兴,9.387097
阿克苏,金华,11.032257
阿克苏,锦州,4.129033
阿克苏,荆州,5.032258
阿克苏,喀什,104.032258
阿克苏,昆明,20.709676
阿克苏,拉萨,4.999999
阿克苏,兰州,110.870967
阿克苏,廊坊,3.225807
阿克苏,连云港,3.258064
阿克苏,临沂,5
阿克苏,柳州,5.193548
阿克苏,洛阳,10.548387
阿克苏,南昌,33.064517
阿克苏,南充,37.064515
阿克苏,南京,20.096775
阿克苏,南宁,12.419352
阿克苏,南通,6
阿克苏,内江,4.709677
阿克苏,宁波,12.80645
阿克苏,青岛,24.290322
阿克苏,泉州,16.741935
阿克苏,汕头,8.193548
阿克苏,上海,53
阿克苏,深圳,27.67742
阿克苏,沈阳,26.612903
阿克苏,石家庄,16.32258
阿克苏,苏州,20.612903
阿克苏,台州,8.935485
阿克苏,太原,17.548389
阿克苏,唐山,3.129033
阿克苏,天津,31.903227
阿克苏,潍坊,7.548387
阿克苏,温州,13.258065
阿克苏,乌鲁木齐,212.483871
阿克苏,无锡,10.774194
阿克苏,芜湖,5.709678
阿克苏,武汉,52.064514
阿克苏,西安,93.354839
阿克苏,西宁,6.322578
阿克苏,厦门,9.741935
阿克苏,襄阳,6.387097
阿克苏,信阳,28.774195
阿克苏,徐州,14.483872
