START_HUB,END_HUB,NUM
阿克苏,阿克苏,0
阿克苏,安庆,0
阿克苏,蚌埠,0
阿克苏,包头,0
阿克苏,保定,0
阿克苏,宝鸡,0
阿克苏,北京,0
阿克苏,常德,0
阿克苏,常州,0
阿克苏,长春,0
阿克苏,长沙,0
阿克苏,成都,0
阿克苏,大理州,0
阿克苏,大连,0
阿克苏,东莞,0
阿克苏,福州,0
阿克苏,赣州,0
阿克苏,广州,0
阿克苏,贵阳,0
阿克苏,哈尔滨,0
阿克苏,海口,0
阿克苏,杭州,0
阿克苏,合肥,0
阿克苏,衡阳,0
阿克苏,侯马,0
阿克苏,呼和浩特,0
阿克苏,湖州,0
阿克苏,淮安,0
阿克苏,济南,0
阿克苏,济宁,0
阿克苏,嘉兴,0
阿克苏,金华,0
阿克苏,锦州,0
阿克苏,荆州,0
阿克苏,喀什,18061.9184
阿克苏,昆明,0
阿克苏,拉萨,0
阿克苏,兰州,0
阿克苏,廊坊,0
阿克苏,连云港,0
阿克苏,临沂,0
阿克苏,柳州,0
阿克苏,洛阳,0
阿克苏,南昌,0
阿克苏,南充,0
阿克苏,南京,0
阿克苏,南宁,0
阿克苏,南通,0
阿克苏,内江,0
阿克苏,宁波,0
阿克苏,青岛,0
阿克苏,泉州,0
阿克苏,汕头,0
阿克苏,上海,0
阿克苏,深圳,0
阿克苏,沈阳,0
阿克苏,石家庄,0
阿克苏,苏州,0
阿克苏,台州,0
阿克苏,太原,0
阿克苏,唐山,0
阿克苏,天津,0
阿克苏,潍坊,0
阿克苏,温州,0
阿克苏,乌鲁木齐,5169.5732
阿克苏,无锡,0
阿克苏,芜湖,0
阿克苏,武汉,0
阿克苏,西安,11567.919
阿克苏,西宁,0
阿克苏,厦门,0
阿克苏,襄阳,0
阿克苏,信阳,0
阿克苏,徐州,0
阿克苏,烟台,0
阿克苏,盐城,0
阿克苏,扬州,0
阿克苏,义乌,0
阿克苏,银川,0
阿克苏,鹰潭,0
阿克苏,湛江,0
阿克苏,郑州,0
阿克苏,中山,0
阿克苏,重庆,0
阿克苏,漯河,0
安庆,阿克苏,0
安庆,安庆,0
安庆,蚌埠,12957.9406
安庆,包头,0
安庆,保定,0
安庆,宝鸡,0
安庆,北京,0
安庆,常德,0
安庆,常州,0
安庆,长春,18566.1166
安庆,长沙,19992.3176
安庆,成都,23044.3892
安庆,大理州,0
安庆,大连,0
安庆,东莞,0
安庆,福州,0
安庆,赣州,0
安庆,广州,68828.0514
安庆,贵阳,32428.4302
安庆,哈尔滨,0
安庆,海口,0
安庆,杭州,24912.8176
安庆,合肥,58179.5146
安庆,衡阳,0
安庆,侯马,0
安庆,呼和浩特,6434.069
安庆,湖州,0
安庆,淮安,0
安庆,济南,30987.6216
安庆,济宁,0
安庆,嘉兴,0
安庆,金华,33985.946
安庆,锦州,23795.0252
安庆,荆州,0
安庆,喀什,0
安庆,昆明,0
安庆,拉萨,0
安庆,兰州,0
安庆,廊坊,0
安庆,连云港,0
安庆,临沂,0
安庆,柳州,0
安庆,洛阳,0
安庆,南昌,0
安庆,南充,0
安庆,南京,36080.2222
安庆,南宁,11903.5644
安庆,南通,0
安庆,内江,0
安庆,宁波,0
安庆,青岛,0
安庆,泉州,29485.2364
安庆,汕头,0
安庆,上海,20359.1492
安庆,深圳,0
安庆,沈阳,0
安庆,石家庄,13684.2306
安庆,苏州,0
安庆,台州,0
安庆,太原,9821.9868
安庆,唐山,0
安庆,天津,26873.3518
安庆,潍坊,0
安庆,温州,0
安庆,乌鲁木齐,0
安庆,无锡,23362.08
安庆,芜湖,19129.5188
安庆,武汉,28978.673
安庆,西安,30723.7474
安庆,西宁,0
安庆,厦门,0
安庆,襄阳,0
安庆,信阳,0
安庆,徐州,0
安庆,烟台,0
安庆,盐城,0
安庆,扬州,0
安庆,义乌,0
安庆,银川,0
安庆,鹰潭,21817.9818
安庆,湛江,0
安庆,郑州,28433.2948
安庆,中山,0
安庆,重庆,0
安庆,漯河,0
蚌埠,阿克苏,0
蚌埠,安庆,11109.4452
蚌埠,蚌埠,0
蚌埠,包头,0
蚌埠,保定,0
蚌埠,宝鸡,0
蚌埠,北京,22700.2574
蚌埠,常德,0
蚌埠,常州,0
蚌埠,长春,16503.22
蚌埠,长沙,27721.0174
蚌埠,成都,21574.5042
蚌埠,大理州,0
蚌埠,大连,0
蚌埠,东莞,0
蚌埠,福州,19532.6612
蚌埠,赣州,0
蚌埠,广州,49411.5024
蚌埠,贵阳,22979.4582
蚌埠,哈尔滨,0
蚌埠,海口,0
蚌埠,杭州,11719.623
蚌埠,合肥,49970.7618
蚌埠,衡阳,0
蚌埠,侯马,0
蚌埠,呼和浩特,16372.3688
蚌埠,湖州,0
蚌埠,淮安,0
蚌埠,济南,42996.578
蚌埠,济宁,0
蚌埠,嘉兴,0
蚌埠,金华,4594.7864
蚌埠,锦州,0
蚌埠,荆州,0
蚌埠,喀什,0
蚌埠,昆明,0
蚌埠,拉萨,0
蚌埠,兰州,0
蚌埠,廊坊,0
蚌埠,连云港,0
蚌埠,临沂,0
蚌埠,柳州,0
蚌埠,洛阳,0
蚌埠,南昌,16147.0466
蚌埠,南充,0
蚌埠,南京,39227.2904
蚌埠,南宁,14408.1554
蚌埠,南通,0
蚌埠,内江,0
蚌埠,宁波,0
蚌埠,青岛,0
蚌埠,泉州,0
蚌埠,汕头,0
蚌埠,上海,23025.5768
蚌埠,深圳,0
蚌埠,沈阳,20170.2072
蚌埠,石家庄,19173.002
蚌埠,苏州,13421.8712
蚌埠,台州,0
蚌埠,太原,13226.746
蚌埠,唐山,0
蚌埠,天津,26569.9364
蚌埠,潍坊,0
蚌埠,温州,0
蚌埠,乌鲁木齐,0
蚌埠,无锡,17119.6504
蚌埠,芜湖,22872.5588
蚌埠,武汉,23566.8742
蚌埠,西安,35918.9112
蚌埠,西宁,0
蚌埠,厦门,0
蚌埠,襄阳,0
蚌埠,信阳,0
蚌埠,徐州,52366.7378
蚌埠,烟台,0
蚌埠,盐城,0
蚌埠,扬州,0
蚌埠,义乌,0
蚌埠,银川,0
蚌埠,鹰潭,0
蚌埠,湛江,0
蚌埠,郑州,47644.1918
蚌埠,中山,0
蚌埠,重庆,17710.22
蚌埠,漯河,0
包头,阿克苏,0
包头,安庆,0
包头,蚌埠,0
包头,包头,0
包头,保定,0
包头,宝鸡,0
包头,北京,0
包头,常德,0
包头,常州,0
包头,长春,0
包头,长沙,0
包头,成都,0
包头,大理州,0
包头,大连,0
包头,东莞,0
包头,福州,0
包头,赣州,0
包头,广州,0
包头,贵阳,0
包头,哈尔滨,0
包头,海口,0
包头,杭州,0
包头,合肥,0
包头,衡阳,0
包头,侯马,0
包头,呼和浩特,14833.2092
包头,湖州,0
包头,淮安,0
包头,济南,0
包头,济宁,0
包头,嘉兴,0
包头,金华,0
包头,锦州,0
包头,荆州,0
包头,喀什,0
包头,昆明,0
包头,拉萨,0
包头,兰州,0
包头,廊坊,0
包头,连云港,0
包头,临沂,0
包头,柳州,0
包头,洛阳,0
包头,南昌,0
包头,南充,0
包头,南京,0
包头,南宁,0
包头,南通,0
包头,内江,0
包头,宁波,0
包头,青岛,0
包头,泉州,0
包头,汕头,0
包头,上海,0
包头,深圳,0
包头,沈阳,0
包头,石家庄,0
包头,苏州,0
包头,台州,0
包头,太原,0
包头,唐山,0
包头,天津,0
包头,潍坊,0
包头,温州,0
包头,乌鲁木齐,0
包头,无锡,0
包头,芜湖,0
包头,武汉,0
包头,西安,0
包头,西宁,0
包头,厦门,0
包头,襄阳,0
包头,信阳,0
包头,徐州,0
包头,烟台,0
包头,盐城,0
包头,扬州,0
包头,义乌,0
包头,银川,0
包头,鹰潭,0
包头,湛江,0
包头,郑州,0
包头,中山,0
包头,重庆,0
包头,漯河,0
保定,阿克苏,0
保定,安庆,0
保定,蚌埠,0
保定,包头,0
保定,保定,0
保定,宝鸡,0
保定,北京,44174.3628
保定,常德,0
保定,常州,0
保定,长春,0
保定,长沙,0
保定,成都,13674.3608
保定,大理州,0
保定,大连,0
保定,东莞,0
保定,福州,0
保定,赣州,0
保定,广州,0
保定,贵阳,0
保定,哈尔滨,0
保定,海口,0
保定,杭州,0
保定,合肥,0
保定,衡阳,0
保定,侯马,0
保定,呼和浩特,0
保定,湖州,0
保定,淮安,0
保定,济南,41122.9482
保定,济宁,0
保定,嘉兴,0
保定,金华,0
保定,锦州,0
保定,荆州,0
保定,喀什,0
保定,昆明,0
保定,拉萨,0
保定,兰州,0
保定,廊坊,13298.2544
保定,连云港,0
保定,临沂,0
保定,柳州,0
保定,洛阳,0
保定,南昌,0
保定,南充,0
保定,南京,27101.8202
保定,南宁,0
保定,南通,0
保定,内江,0
保定,宁波,0
保定,青岛,0
保定,泉州,0
保定,汕头,0
保定,上海,8332.0994
保定,深圳,0
保定,沈阳,0
保定,石家庄,31500.8244
保定,苏州,0
保定,台州,0
保定,太原,9644.8856
保定,唐山,3700.9328
保定,天津,0
保定,潍坊,0
保定,温州,0
保定,乌鲁木齐,0
保定,无锡,0
保定,芜湖,0
保定,武汉,0
保定,西安,34772.035
保定,西宁,0
保定,厦门,0
保定,襄阳,0
保定,信阳,0
保定,徐州,0
保定,烟台,0
保定,盐城,0
保定,扬州,0
保定,义乌,0
保定,银川,0
保定,鹰潭,0
保定,湛江,0
保定,郑州,65550.975
保定,中山,6451.3046
保定,重庆,0
保定,漯河,0
宝鸡,阿克苏,0
宝鸡,安庆,0
宝鸡,蚌埠,0
宝鸡,包头,0
宝鸡,保定,0
宝鸡,宝鸡,0
宝鸡,北京,0
宝鸡,常德,0
宝鸡,常州,0
宝鸡,长春,0
宝鸡,长沙,0
宝鸡,成都,0
宝鸡,大理州,0
宝鸡,大连,0
宝鸡,东莞,0
宝鸡,福州,0
宝鸡,赣州,0
宝鸡,广州,0
宝鸡,贵阳,0
