,收寄城市,寄达城市,是否自有邮路,车辆使用情况,车辆成本
0,北京,北京,0,,0
1,北京,天津,0,,0
2,北京,石家庄,0,,0
3,北京,唐山,0,,0
4,北京,廊坊,0,,0
5,北京,保定,0,,0
6,北京,太原,0,,0
7,北京,侯马,0,,0
8,北京,呼和浩特,0,,0
9,北京,包头,0,,0
10,北京,沈阳,0,,0
11,北京,大连,0,,0
12,北京,锦州,0,,0
13,北京,长春,0,,0
14,北京,哈尔滨,0,,0
15,北京,上海,0,,0
16,北京,南京,0,,0
17,北京,常州,0,,0
18,北京,无锡,0,,0
19,北京,苏州,0,,0
20,北京,徐州,0,,0
21,北京,连云港,0,,0
22,北京,淮安,0,,0
23,北京,盐城,0,,0
24,北京,扬州,0,,0
25,北京,南通,0,,0
26,北京,杭州,0,,0
27,北京,湖州,0,,0
28,北京,嘉兴,0,,0
29,北京,宁波,0,,0
30,北京,台州,0,,0
31,北京,金华,0,,0
32,北京,义乌,0,,0
33,北京,温州,0,,0
34,北京,合肥,0,,0
35,北京,蚌埠,0,,0
36,北京,芜湖,0,,0
37,北京,安庆,0,,0
38,北京,福州,0,,0
39,北京,厦门,0,,0
40,北京,泉州,0,,0
41,北京,南昌,0,,0
42,北京,鹰潭,0,,0
43,北京,赣州,0,,0
44,北京,济南,0,,0
45,北京,潍坊,0,,0
46,北京,烟台,0,,0
47,北京,青岛,0,,0
48,北京,济宁,0,,0
49,北京,临沂,0,,0
50,北京,郑州,0,,0
51,北京,漯河,0,,0
52,北京,信阳,0,,0
53,北京,洛阳,0,,0
54,北京,武汉,0,,0
55,北京,荆州,0,,0
56,北京,襄阳,0,,0
57,北京,长沙,0,,0
58,北京,常德,0,,0
59,北京,衡阳,0,,0
60,北京,广州,0,,0
61,北京,汕头,0,,0
62,北京,深圳,0,,0
63,北京,东莞,0,,0
64,北京,湛江,0,,0
65,北京,中山,0,,0
66,北京,南宁,0,,0
67,北京,柳州,0,,0
68,北京,海口,0,,0
69,北京,重庆,0,,0
70,北京,成都,0,,0
71,北京,南充,0,,0
72,北京,内江,0,,0
73,北京,贵阳,0,,0
74,北京,昆明,0,,0
75,北京,大理州,0,,0
76,北京,拉萨,0,,0
77,北京,西安,0,,0
78,北京,宝鸡,0,,0
79,北京,兰州,0,,0
80,北京,西宁,0,,0
81,北京,银川,0,,0
82,北京,乌鲁木齐,0,,0
83,北京,阿克苏,0,,0
84,北京,喀什,0,,0
85,天津,北京,0,,0
86,天津,天津,0,,0
87,天津,石家庄,0,,0
88,天津,唐山,0,,0
89,天津,廊坊,0,,0
90,天津,保定,0,,0
91,天津,太原,0,,0
92,天津,侯马,0,,0
93,天津,呼和浩特,0,,0
94,天津,包头,0,,0
95,天津,沈阳,0,,0
96,天津,大连,0,,0
97,天津,锦州,0,,0
98,天津,长春,0,,0
99,天津,哈尔滨,0,,0
100,天津,上海,0,,0
101,天津,南京,0,,0
102,天津,常州,0,,0
103,天津,无锡,0,,0
104,天津,苏州,0,,0
105,天津,徐州,0,,0
106,天津,连云港,0,,0
107,天津,淮安,0,,0
108,天津,盐城,0,,0
109,天津,扬州,0,,0
110,天津,南通,0,,0
111,天津,杭州,0,,0
112,天津,湖州,0,,0
113,天津,嘉兴,0,,0
114,天津,宁波,0,,0
115,天津,台州,0,,0
116,天津,金华,0,,0
117,天津,义乌,0,,0
118,天津,温州,0,,0
119,天津,合肥,0,,0
120,天津,蚌埠,0,,0
121,天津,芜湖,0,,0
122,天津,安庆,0,,0
123,天津,福州,0,,0
124,天津,厦门,0,,0
125,天津,泉州,0,,0
126,天津,南昌,0,,0
127,天津,鹰潭,0,,0
128,天津,赣州,0,,0
129,天津,济南,0,,0
130,天津,潍坊,0,,0
131,天津,烟台,0,,0
132,天津,青岛,0,,0
133,天津,济宁,0,,0
134,天津,临沂,0,,0
135,天津,郑州,0,,0
136,天津,漯河,0,,0
137,天津,信阳,0,,0
138,天津,洛阳,0,,0
139,天津,武汉,0,,0
140,天津,荆州,0,,0
141,天津,襄阳,0,,0
142,天津,长沙,0,,0
143,天津,常德,0,,0
144,天津,衡阳,0,,0
145,天津,广州,0,,0
146,天津,汕头,0,,0
147,天津,深圳,0,,0
148,天津,东莞,0,,0
149,天津,湛江,0,,0
150,天津,中山,0,,0
151,天津,南宁,0,,0
152,天津,柳州,0,,0
153,天津,海口,0,,0
154,天津,重庆,0,,0
155,天津,成都,0,,0
156,天津,南充,0,,0
157,天津,内江,0,,0
158,天津,贵阳,0,,0
159,天津,昆明,0,,0
160,天津,大理州,0,,0
161,天津,拉萨,0,,0
162,天津,西安,0,,0
163,天津,宝鸡,0,,0
164,天津,兰州,0,,0
165,天津,西宁,0,,0
166,天津,银川,0,,0
167,天津,乌鲁木齐,0,,0
168,天津,阿克苏,0,,0
169,天津,喀什,0,,0
170,石家庄,北京,0,,0
171,石家庄,天津,0,,0
172,石家庄,石家庄,0,,0
173,石家庄,唐山,0,,0
174,石家庄,廊坊,0,,0
175,石家庄,保定,0,,0
176,石家庄,太原,0,,0
177,石家庄,侯马,0,,0
178,石家庄,呼和浩特,0,,0
179,石家庄,包头,0,,0
180,石家庄,沈阳,0,,0
181,石家庄,大连,0,,0
182,石家庄,锦州,0,,0
183,石家庄,长春,0,,0
184,石家庄,哈尔滨,0,,0
185,石家庄,上海,0,,0
186,石家庄,南京,0,,0
187,石家庄,常州,0,,0
188,石家庄,无锡,0,,0
189,石家庄,苏州,0,,0
190,石家庄,徐州,0,,0
191,石家庄,连云港,0,,0
192,石家庄,淮安,0,,0
193,石家庄,盐城,0,,0
194,石家庄,扬州,0,,0
195,石家庄,南通,0,,0
196,石家庄,杭州,0,,0
197,石家庄,湖州,0,,0
198,石家庄,嘉兴,0,,0
199,石家庄,宁波,0,,0
200,石家庄,台州,0,,0
201,石家庄,金华,0,,0
202,石家庄,义乌,0,,0
203,石家庄,温州,0,,0
204,石家庄,合肥,0,,0
205,石家庄,蚌埠,0,,0
206,石家庄,芜湖,0,,0
207,石家庄,安庆,0,,0
208,石家庄,福州,0,,0
209,石家庄,厦门,0,,0
210,石家庄,泉州,0,,0
211,石家庄,南昌,0,,0
212,石家庄,鹰潭,0,,0
213,石家庄,赣州,0,,0
214,石家庄,济南,0,,0
215,石家庄,潍坊,0,,0
216,石家庄,烟台,0,,0
217,石家庄,青岛,0,,0
218,石家庄,济宁,0,,0
219,石家庄,临沂,0,,0
220,石家庄,郑州,0,,0
221,石家庄,漯河,0,,0
222,石家庄,信阳,0,,0
223,石家庄,洛阳,0,,0
224,石家庄,武汉,0,,0
225,石家庄,荆州,0,,0
226,石家庄,襄阳,0,,0
227,石家庄,长沙,0,,0
228,石家庄,常德,0,,0
229,石家庄,衡阳,0,,0
230,石家庄,广州,0,,0
231,石家庄,汕头,0,,0
232,石家庄,深圳,0,,0
233,石家庄,东莞,0,,0
234,石家庄,湛江,0,,0
235,石家庄,中山,0,,0
236,石家庄,南宁,0,,0
237,石家庄,柳州,0,,0
238,石家庄,海口,0,,0
239,石家庄,重庆,0,,0
240,石家庄,成都,0,,0
241,石家庄,南充,0,,0
242,石家庄,内江,0,,0
243,石家庄,贵阳,0,,0
244,石家庄,昆明,0,,0
245,石家庄,大理州,0,,0
246,石家庄,拉萨,0,,0
247,石家庄,西安,0,,0
248,石家庄,宝鸡,0,,0
249,石家庄,兰州,0,,0
250,石家庄,西宁,0,,0
251,石家庄,银川,0,,0
252,石家庄,乌鲁木齐,0,,0
253,石家庄,阿克苏,0,,0
254,石家庄,喀什,0,,0
255,唐山,北京,0,,0
256,唐山,天津,0,,0
257,唐山,石家庄,0,,0
258,唐山,唐山,0,,0
259,唐山,廊坊,0,,0
260,唐山,保定,0,,0
261,唐山,太原,0,,0
262,唐山,侯马,0,,0
263,唐山,呼和浩特,0,,0
264,唐山,包头,0,,0
265,唐山,沈阳,0,,0
266,唐山,大连,0,,0
267,唐山,锦州,0,,0
268,唐山,长春,0,,0
269,唐山,哈尔滨,0,,0
270,唐山,上海,0,,0
271,唐山,南京,0,,0
272,唐山,常州,0,,0
273,唐山,无锡,0,,0
274,唐山,苏州,0,,0
275,唐山,徐州,0,,0
276,唐山,连云港,0,,0
277,唐山,淮安,0,,0
278,唐山,盐城,0,,0
279,唐山,扬州,0,,0
280,唐山,南通,0,,0
281,唐山,杭州,0,,0
282,唐山,湖州,0,,0
283,唐山,嘉兴,0,,0
284,唐山,宁波,0,,0
285,唐山,台州,0,,0
286,唐山,金华,0,,0
287,唐山,义乌,0,,0
288,唐山,温州,0,,0
289,唐山,合肥,0,,0
290,唐山,蚌埠,0,,0
291,唐山,芜湖,0,,0
292,唐山,安庆,0,,0
293,唐山,福州,0,,0
294,唐山,厦门,0,,0
295,唐山,泉州,0,,0
296,唐山,南昌,0,,0
297,唐山,鹰潭,0,,0
298,唐山,赣州,0,,0
299,唐山,济南,0,,0
300,唐山,潍坊,0,,0
301,唐山,烟台,0,,0
302,唐山,青岛,0,,0
303,唐山,济宁,0,,0
304,唐山,临沂,0,,0
305,唐山,郑州,0,,0
306,唐山,漯河,0,,0
307,唐山,信阳,0,,0
308,唐山,洛阳,0,,0
309,唐山,武汉,0,,0
310,唐山,荆州,0,,0
311,唐山,襄阳,0,,0
312,唐山,长沙,0,,0
313,唐山,常德,0,,0
314,唐山,衡阳,0,,0
315,唐山,广州,0,,0
316,唐山,汕头,0,,0
317,唐山,深圳,0,,0
318,唐山,东莞,0,,0
319,唐山,湛江,0,,0
320,唐山,中山,0,,0
321,唐山,南宁,0,,0
322,唐山,柳州,0,,0
323,唐山,海口,0,,0
324,唐山,重庆,0,,0
325,唐山,成都,0,,0
326,唐山,南充,0,,0
327,唐山,内江,0,,0
328,唐山,贵阳,0,,0
329,唐山,昆明,0,,0
330,唐山,大理州,0,,0
331,唐山,拉萨,0,,0
332,唐山,西安,0,,0
333,唐山,宝鸡,0,,0
334,唐山,兰州,0,,0
335,唐山,西宁,0,,0
336,唐山,银川,0,,0
337,唐山,乌鲁木齐,0,,0
338,唐山,阿克苏,0,,0
339,唐山,喀什,0,,0
340,廊坊,北京,0,,0
341,廊坊,天津,0,,0
342,廊坊,石家庄,0,,0
343,廊坊,唐山,0,,0
344,廊坊,廊坊,0,,0
345,廊坊,保定,0,,0
346,廊坊,太原,0,,0
347,廊坊,侯马,0,,0
348,廊坊,呼和浩特,0,,0
349,廊坊,包头,0,,0
350,廊坊,沈阳,0,,0
351,廊坊,大连,0,,0
352,廊坊,锦州,0,,0
353,廊坊,长春,0,,0
354,廊坊,哈尔滨,0,,0
355,廊坊,上海,0,,0
356,廊坊,南京,0,,0
357,廊坊,常州,0,,0
358,廊坊,无锡,0,,0
359,廊坊,苏州,0,,0
360,廊坊,徐州,0,,0
361,廊坊,连云港,0,,0
362,廊坊,淮安,0,,0
363,廊坊,盐城,0,,0
364,廊坊,扬州,0,,0
365,廊坊,南通,0,,0
366,廊坊,杭州,0,,0
367,廊坊,湖州,0,,0
368,廊坊,嘉兴,0,,0
369,廊坊,宁波,0,,0
370,廊坊,台州,0,,0
371,廊坊,金华,0,,0
372,廊坊,义乌,0,,0
373,廊坊,温州,0,,0
374,廊坊,合肥,0,,0
375,廊坊,蚌埠,0,,0
376,廊坊,芜湖,0,,0
377,廊坊,安庆,0,,0
378,廊坊,福州,0,,0
379,廊坊,厦门,0,,0
380,廊坊,泉州,0,,0
381,廊坊,南昌,0,,0
382,廊坊,鹰潭,0,,0
383,廊坊,赣州,0,,0
384,廊坊,济南,0,,0
385,廊坊,潍坊,0,,0
386,廊坊,烟台,0,,0
387,廊坊,青岛,0,,0
388,廊坊,济宁,0,,0
389,廊坊,临沂,0,,0
