收寄城市,寄达城市,是否自有邮路,车辆使用情况,车辆成本
北京,北京,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,天津,1,"北京-北京的邮路使用1辆40t满载车,2辆20t满载车,1辆12t满载车以及3辆40t空载车,1辆20t空载车,0辆12t空载车",6565.831999999999
北京,石家庄,1,"北京-北京的邮路使用0辆40t满载车,2辆20t满载车,1辆12t满载车以及5辆40t空载车,1辆20t空载车,1辆12t空载车",21993.6
北京,唐山,1,"北京-北京的邮路使用0辆40t满载车,2辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",2503.4759999999997
北京,廊坊,1,"北京-北京的邮路使用0辆40t满载车,1辆20t满载车,1辆12t满载车以及1辆40t空载车,1辆20t空载车,0辆12t空载车",1222.752
北京,保定,1,"北京-北京的邮路使用2辆40t满载车,0辆20t满载车,0辆12t满载车以及3辆40t空载车,0辆20t空载车,1辆12t空载车",7790.079999999999
北京,太原,1,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,3辆12t满载车以及0辆40t空载车,3辆20t空载车,0辆12t空载车",22862.699999999997
北京,侯马,0,"北京-北京的邮路使用1辆40t满载车,1辆20t满载车,1辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",30201.306000000004
北京,呼和浩特,1,"北京-北京的邮路使用2辆40t满载车,2辆20t满载车,2辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",24867.336000000003
北京,包头,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,沈阳,1,"北京-北京的邮路使用3辆40t满载车,0辆20t满载车,3辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",34684.92
北京,大连,1,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,锦州,1,"北京-北京的邮路使用9辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",41022.54
北京,长春,1,"北京-北京的邮路使用2辆40t满载车,2辆20t满载车,1辆12t满载车以及1辆40t空载车,0辆20t空载车,1辆12t空载车",57021.606
北京,哈尔滨,1,"北京-北京的邮路使用3辆40t满载车,0辆20t满载车,3辆12t满载车以及2辆40t空载车,1辆20t空载车,0辆12t空载车",94938.98199999999
北京,上海,1,"北京-北京的邮路使用0辆40t满载车,2辆20t满载车,2辆12t满载车以及2辆40t空载车,0辆20t空载车,0辆12t空载车",58791.592
北京,南京,1,"北京-北京的邮路使用0辆40t满载车,2辆20t满载车,3辆12t满载车以及2辆40t空载车,0辆20t空载车,0辆12t空载车",56040.86
北京,常州,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,2辆20t空载车,1辆12t空载车",35550.62400000001
北京,无锡,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及5辆40t空载车,0辆20t空载车,0辆12t空载车",78507.15
北京,苏州,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及1辆40t空载车,0辆20t空载车,2辆12t空载车",39715.182
北京,徐州,1,"北京-北京的邮路使用2辆40t满载车,3辆20t满载车,2辆12t满载车以及1辆40t空载车,0辆20t空载车,0辆12t空载车",45945.576
北京,连云港,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,淮安,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,盐城,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,扬州,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,南通,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,杭州,1,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,2辆12t满载车以及2辆40t空载车,3辆20t空载车,0辆12t空载车",71348.406
北京,湖州,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,嘉兴,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,宁波,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,台州,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,金华,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及4辆40t空载车,1辆20t空载车,3辆12t空载车",142612.61699999997
北京,义乌,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,温州,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,合肥,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及4辆40t空载车,2辆20t空载车,1辆12t空载车",90156.36
北京,蚌埠,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及1辆40t空载车,1辆20t空载车,2辆12t空载车",40187.979
北京,芜湖,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,安庆,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,福州,1,"北京-北京的邮路使用1辆40t满载车,1辆20t满载车,1辆12t满载车以及1辆40t空载车,0辆20t空载车,0辆12t空载车",63483.264
北京,厦门,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,泉州,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,南昌,1,"北京-北京的邮路使用0辆40t满载车,1辆20t满载车,1辆12t满载车以及1辆40t空载车,1辆20t空载车,1辆12t空载车",54748.50000000001
北京,鹰潭,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,赣州,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,济南,1,"北京-北京的邮路使用1辆40t满载车,3辆20t满载车,1辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",16424.6
北京,潍坊,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,烟台,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,青岛,1,"北京-北京的邮路使用4辆40t满载车,2辆20t满载车,0辆12t满载车以及1辆40t空载车,0辆20t空载车,0辆12t空载车",42753.436
北京,济宁,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,临沂,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,郑州,1,"北京-北京的邮路使用0辆40t满载车,3辆20t满载车,3辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",31179.077999999998
北京,漯河,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,信阳,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,洛阳,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,武汉,1,"北京-北京的邮路使用2辆40t满载车,1辆20t满载车,1辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",39457.966
北京,荆州,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,襄阳,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,长沙,1,"北京-北京的邮路使用0辆40t满载车,2辆20t满载车,3辆12t满载车以及4辆40t空载车,0辆20t空载车,0辆12t空载车",111318.738
北京,常德,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,衡阳,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,广州,1,"北京-北京的邮路使用0辆40t满载车,3辆20t满载车,2辆12t满载车以及4辆40t空载车,0辆20t空载车,0辆12t空载车",159615.388
北京,汕头,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,深圳,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,东莞,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,湛江,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
