收寄城市,寄达城市,是否自有邮路,车辆使用情况,车辆成本
北京,北京,0,"北京-北京的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,天津,1,"北京-天津的邮路使用1辆40t满载车,2辆20t满载车,1辆12t满载车以及3辆40t空载车,1辆20t空载车,0辆12t空载车",3369.7999999999997
北京,石家庄,1,"北京-石家庄的邮路使用0辆40t满载车,2辆20t满载车,1辆12t满载车以及5辆40t空载车,1辆20t空载车,1辆12t空载车",11382.319999999998
北京,唐山,1,"北京-唐山的邮路使用0辆40t满载车,2辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",1193.82
北京,廊坊,1,"北京-廊坊的邮路使用0辆40t满载车,1辆20t满载车,1辆12t满载车以及1辆40t空载车,1辆20t空载车,0辆12t空载车",612.41
北京,保定,1,"北京-保定的邮路使用2辆40t满载车,0辆20t满载车,0辆12t满载车以及3辆40t空载车,0辆20t空载车,1辆12t空载车",4129.299999999999
北京,太原,1,"北京-太原的邮路使用0辆40t满载车,0辆20t满载车,3辆12t满载车以及0辆40t空载车,3辆20t空载车,0辆12t空载车",8930.249999999998
北京,侯马,0,"北京-侯马的邮路使用1辆40t满载车,1辆20t满载车,1辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",12315.0
北京,呼和浩特,1,"北京-呼和浩特的邮路使用2辆40t满载车,2辆20t满载车,2辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",10140.0
北京,包头,0,"北京-包头的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,沈阳,1,"北京-沈阳的邮路使用3辆40t满载车,0辆20t满载车,3辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",14427.899999999998
北京,大连,1,"北京-大连的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,锦州,1,"北京-锦州的邮路使用9辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",18315.899999999998
北京,长春,1,"北京-长春的邮路使用2辆40t满载车,2辆20t满载车,1辆12t满载车以及1辆40t空载车,0辆20t空载车,1辆12t空载车",23867.73
北京,哈尔滨,1,"北京-哈尔滨的邮路使用3辆40t满载车,0辆20t满载车,3辆12t满载车以及2辆40t空载车,1辆20t空载车,0辆12t空载车",40456.59999999999
北京,上海,1,"北京-上海的邮路使用0辆40t满载车,2辆20t满载车,2辆12t满载车以及2辆40t空载车,0辆20t空载车,0辆12t空载车",24280.0
北京,南京,1,"北京-南京的邮路使用0辆40t满载车,2辆20t满载车,3辆12t满载车以及2辆40t空载车,0辆20t空载车,0辆12t空载车",22866.4
北京,常州,0,"北京-常州的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,2辆20t空载车,1辆12t空载车",14276.699999999999
北京,无锡,0,"北京-无锡的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及5辆40t空载车,0辆20t空载车,0辆12t空载车",36209.624999999985
北京,苏州,0,"北京-苏州的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及1辆40t空载车,0辆20t空载车,2辆12t空载车",16678.155
北京,徐州,1,"北京-徐州的邮路使用2辆40t满载车,3辆20t满载车,2辆12t满载车以及1辆40t空载车,0辆20t空载车,0辆12t空载车",18987.84
北京,连云港,0,"北京-连云港的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,淮安,0,"北京-淮安的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
北京,盐城,0,"北京-盐城的邮路使用0辆40t满载车,0辆20t满载车,0辆12t满载车以及0辆40t空载车,0辆20t空载车,0辆12t空载车",0.0
