收寄城市,寄达城市,车辆使用情况,车辆成本,,,,,,
北京,北京,,,,,,,,
北京,天津,"北京-天津的邮路使用3辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2882.832,,,,,,
北京,石家庄,"北京-石家庄的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",5235.488,,,,,,
北京,唐山,"北京-唐山的邮路使用1辆40t自办车,0辆20t自办车,1辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2743.816,,,,,,
北京,廊坊,"北京-廊坊的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",687.986,,,,,,
北京,保定,"北京-保定的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",2816.56,,,,,,
北京,太原,"北京-太原的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",10182.9,,,,,旧,78141432
北京,侯马,"北京-侯马的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及1辆40t委办车,1辆20t委办车,1辆12t委办车",32941.3935,,,,,新,77680913
北京,呼和浩特,"北京-呼和浩特的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,0辆12t委办车",26301.3855,,,,,节省,460519
北京,包头,,,,,,,,
北京,沈阳,"北京-沈阳的邮路使用4辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",32126.4,,,,,,
北京,大连,"北京-大连的邮路使用2辆40t自办车,1辆20t自办车,0辆12t自办车以及9辆40t委办车,1辆20t委办车,1辆12t委办车",166283.326,,,,,,
北京,锦州,"北京-锦州的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及5辆40t委办车,0辆20t委办车,0辆12t委办车",56894.44,,,,,,
北京,长春,"北京-长春的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",38054.952,,,,,,
北京,哈尔滨,"北京-哈尔滨的邮路使用4辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",57780.96,,,,,,
北京,上海,"北京-上海的邮路使用2辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",32977.096,,,,,,
北京,南京,"北京-南京的邮路使用2辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",27435.64,,,,,,
北京,常州,,,,,,,,
北京,无锡,,,,,,,,
北京,苏州,,,,,,,,
北京,徐州,"北京-徐州的邮路使用4辆40t自办车,2辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",37703.632,,,,,,
北京,连云港,,,,,,,,
北京,淮安,,,,,,,,
北京,盐城,,,,,,,,
北京,扬州,,,,,,,,
北京,南通,,,,,,,,
北京,杭州,"北京-杭州的邮路使用1辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",12520.118,,,,,,
北京,湖州,,,,,,,,
北京,嘉兴,,,,,,,,
北京,宁波,,,,,,,,
北京,台州,,,,,,,,
北京,金华,,,,,,,,
北京,义乌,,,,,,,,
北京,温州,,,,,,,,
北京,合肥,,,,,,,,
北京,蚌埠,,,,,,,,
北京,芜湖,,,,,,,,
北京,安庆,,,,,,,,
北京,福州,"北京-福州的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",36309.312,,,,,,
北京,厦门,,,,,,,,
北京,泉州,,,,,,,,
北京,南昌,"北京-南昌的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",24889.05,,,,,,
北京,鹰潭,,,,,,,,
北京,赣州,,,,,,,,
北京,济南,"北京-济南的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",15904.72,,,,,,
北京,潍坊,,,,,,,,
北京,烟台,,,,,,,,
北京,青岛,"北京-青岛的邮路使用4辆40t自办车,2辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",36454.088,,,,,,
北京,济宁,,,,,,,,
北京,临沂,,,,,,,,
北京,郑州,"北京-郑州的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",27193.192,,,,,,
北京,漯河,,,,,,,,
北京,信阳,,,,,,,,
北京,洛阳,,,,,,,,
北京,武汉,"北京-武汉的邮路使用2辆40t自办车,2辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",40276.596,,,,,,
北京,荆州,,,,,,,,
北京,襄阳,,,,,,,,
北京,长沙,"北京-长沙的邮路使用2辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",40718.836,,,,,,
北京,常德,,,,,,,,
北京,衡阳,,,,,,,,
北京,广州,"北京-广州的邮路使用2辆40t自办车,2辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",74370.228,,,,,,
北京,汕头,,,,,,,,
北京,深圳,,,,,,,,
北京,东莞,,,,,,,,
北京,湛江,,,,,,,,
北京,中山,,,,,,,,
北京,南宁,,,,,,,,
北京,柳州,,,,,,,,
北京,海口,,,,,,,,
北京,重庆,"北京-重庆的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",31927.848,,,,,,
北京,成都,"北京-成都的邮路使用1辆40t自办车,2辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",48424.046,,,,,,
北京,南充,,,,,,,,
北京,内江,,,,,,,,
北京,贵阳,"北京-贵阳的邮路使用3辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",60486.426,,,,,,
北京,昆明,,,,,,,,
北京,大理州,,,,,,,,
北京,拉萨,,,,,,,,
北京,西安,"北京-西安的邮路使用2辆40t自办车,2辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",38495.064,,,,,,
北京,宝鸡,,,,,,,,
北京,兰州,"北京-兰州的邮路使用2辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,2辆20t委办车,0辆12t委办车",67755.155,,,,,,
北京,西宁,"北京-西宁的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,2辆20t委办车,0辆12t委办车",43676.061,,,,,,
北京,银川,"北京-银川的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及3辆40t委办车,0辆20t委办车,0辆12t委办车",55772.28,,,,,,
北京,乌鲁木齐,,,,,,,,
北京,阿克苏,,,,,,,,
北京,喀什,,,,,,,,
天津,北京,"天津-北京的邮路使用3辆40t自办车,0辆20t自办车,0辆12t自办车以及4辆40t委办车,0辆20t委办车,0辆12t委办车",9203.712,,,,,,
天津,天津,,,,,,,,
天津,石家庄,"天津-石家庄的邮路使用3辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,0辆12t委办车",13620.7485,,,,,,
天津,唐山,"天津-唐山的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及14辆40t委办车,2辆20t委办车,0辆12t委办车",31706.428,,,,,,
天津,廊坊,"天津-廊坊的邮路使用1辆40t自办车,1辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",1214.954,,,,,,
天津,保定,,,,,,,,
天津,太原,"天津-太原的邮路使用2辆40t自办车,1辆20t自办车,1辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",18308.77,,,,,,
天津,侯马,,,,,,,,
天津,呼和浩特,"天津-呼和浩特的邮路使用0辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,1辆20t委办车,3辆12t委办车",27535.137,,,,,,
天津,包头,,,,,,,,
天津,沈阳,"天津-沈阳的邮路使用4辆40t自办车,0辆20t自办车,0辆12t自办车以及4辆40t委办车,0辆20t委办车,0辆12t委办车",70082,,,,,,
天津,大连,,,,,,,,
天津,锦州,,,,,,,,
天津,长春,"天津-长春的邮路使用7辆40t自办车,0辆20t自办车,0辆12t自办车以及0辆40t委办车,0辆20t委办车,0辆12t委办车",65238.446,,,,,,
天津,哈尔滨,"天津-哈尔滨的邮路使用5辆40t自办车,0辆20t自办车,0辆12t自办车以及20辆40t委办车,0辆20t委办车,0辆12t委办车",460964.13,,,,,,
天津,上海,"天津-上海的邮路使用3辆40t自办车,0辆20t自办车,0辆12t自办车以及3辆40t委办车,0辆20t委办车,1辆12t委办车",98652.996,,,,,,
天津,南京,"天津-南京的邮路使用3辆40t自办车,1辆20t自办车,0辆12t自办车以及1辆40t委办车,1辆20t委办车,0辆12t委办车",62215.3945,,,,,,
天津,常州,,,,,,,,
天津,无锡,,,,,,,,
天津,苏州,,,,,,,,
天津,徐州,,,,,,,,
天津,连云港,,,,,,,,
天津,淮安,,,,,,,,
天津,盐城,,,,,,,,
天津,扬州,,,,,,,,
天津,南通,,,,,,,,
