中心局B,中心局M,中心局N,初始路线,串行路线,初始车辆使用情况,串行车辆使用情况,初始成本,串行成本,节约成本
北京,天津,石家庄,"北京-天津,天津-北京,北京-石家庄,石家庄-北京",北京-天津-石家庄-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用1辆40t车,2辆20t车,0辆12t车",,15608.728,0,0
北京,天津,太原,"北京-天津,天津-北京,北京-太原,太原-北京",北京-天津-太原-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,9828.617999999999,0,0
北京,天津,呼和浩特,"北京-天津,天津-北京,北京-呼和浩特,呼和浩特-北京",北京-天津-呼和浩特-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,9772.153999999999,0,0
北京,天津,沈阳,"北京-天津,天津-北京,北京-沈阳,沈阳-北京",北京-天津-沈阳-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,15882.151999999998,0,0
北京,天津,长春,"北京-天津,天津-北京,北京-长春,长春-北京",北京-天津-长春-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,16251.398000000001,0,0
北京,天津,哈尔滨,"北京-天津,天津-北京,北京-哈尔滨,哈尔滨-北京",北京-天津-哈尔滨-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,21965.472,0,0
北京,天津,上海,"北京-天津,天津-北京,北京-上海,上海-北京",北京-天津-上海-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,1辆12t车",,37966.153999999995,0,0
北京,天津,南京,"北京-天津,天津-北京,北京-南京,南京-北京",北京-天津-南京-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,1辆12t车",,32128.646,0,0
北京,天津,杭州,"北京-天津,天津-北京,北京-杭州,杭州-北京",北京-天津-杭州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,4辆12t车",,73893.314,0,0
北京,天津,福州,"北京-天津,天津-北京,北京-福州,福州-北京",北京-天津-福州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,38876.11,0,0
北京,天津,南昌,"北京-天津,天津-北京,北京-南昌,南昌-北京",北京-天津-南昌-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,2辆12t车",,42481.83,0,0
北京,天津,济南,"北京-天津,天津-北京,北京-济南,济南-北京",北京-天津-济南-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,2辆12t车",,26411.739999999998,0,0
北京,天津,郑州,"北京-天津,天津-北京,北京-郑州,郑州-北京",北京-天津-郑州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,2辆12t车",,43517.182,0,0
北京,天津,武汉,"北京-天津,天津-北京,北京-武汉,武汉-北京",北京-天津-武汉-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用1辆40t车,1辆20t车,0辆12t车",,42509.268000000004,0,0
北京,天津,长沙,"北京-天津,天津-北京,北京-长沙,长沙-北京",北京-天津-长沙-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,1辆12t车",,52173.454,0,0
北京,天津,广州,"北京-天津,天津-北京,北京-广州,广州-北京",北京-天津-广州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,68045.538,0,0
北京,天津,重庆,"北京-天津,天津-北京,北京-重庆,重庆-北京",北京-天津-重庆-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,30564.648,0,0
北京,天津,成都,"北京-天津,天津-北京,北京-成都,成都-北京",北京-天津-成都-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,39487.083999999995,0,0
北京,天津,贵阳,"北京-天津,天津-北京,北京-贵阳,贵阳-北京",北京-天津-贵阳-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,31906.042,0,0
北京,天津,西安,"北京-天津,天津-北京,北京-西安,西安-北京",北京-天津-西安-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,36406.356,0,0
北京,天津,兰州,"北京-天津,天津-北京,北京-兰州,兰州-北京",北京-天津-兰州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,23443.5,0,0
北京,天津,唐山,"北京-天津,天津-北京,北京-唐山,唐山-北京",北京-天津-唐山-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,4586.476,0,0
北京,天津,廊坊,"北京-天津,天津-北京,北京-廊坊,廊坊-北京",北京-天津-廊坊-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,3051.308,0,0
北京,天津,保定,"北京-天津,天津-北京,北京-保定,保定-北京",北京-天津-保定-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,5337.695999999999,0,0
北京,天津,大连,"北京-天津,天津-北京,北京-大连,大连-北京",北京-天津-大连-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,14324.564,0,0
北京,天津,锦州,"北京-天津,天津-北京,北京-锦州,锦州-北京",北京-天津-锦州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,9136.934000000001,0,0
北京,天津,徐州,"北京-天津,天津-北京,北京-徐州,徐州-北京",北京-天津-徐州-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,2辆20t车,0辆12t车",,23933.14,0,0
北京,天津,青岛,"北京-天津,天津-北京,北京-青岛,青岛-北京",北京-天津-青岛-北京,"北京-天津的往返邮路使用0辆40t车,0辆20t车,2辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,12954.592,0,0
北京,石家庄,天津,"北京-石家庄,石家庄-北京,北京-天津,天津-北京",北京-石家庄-天津-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,2辆12t车",,15608.728,0,0
北京,石家庄,太原,"北京-石家庄,石家庄-北京,北京-太原,太原-北京",北京-石家庄-太原-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,20361.938,0,0
北京,石家庄,呼和浩特,"北京-石家庄,石家庄-北京,北京-呼和浩特,呼和浩特-北京",北京-石家庄-呼和浩特-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,20305.474000000002,0,0
北京,石家庄,沈阳,"北京-石家庄,石家庄-北京,北京-沈阳,沈阳-北京",北京-石家庄-沈阳-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用1辆40t车,0辆20t车,0辆12t车",,26415.472,0,0
北京,石家庄,长春,"北京-石家庄,石家庄-北京,北京-长春,长春-北京",北京-石家庄-长春-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,0辆20t车,1辆12t车",,26784.718,0,0
北京,石家庄,哈尔滨,"北京-石家庄,石家庄-北京,北京-哈尔滨,哈尔滨-北京",北京-石家庄-哈尔滨-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,0辆12t车",,32498.792,0,0
北京,石家庄,上海,"北京-石家庄,石家庄-北京,北京-上海,上海-北京",北京-石家庄-上海-北京,"北京-天津的往返邮路使用1辆40t车,2辆20t车,0辆12t车;
北京-石家庄的往返邮路使用0辆40t车,1辆20t车,1辆12t车",,48499.473999999995,0,0
