起点省会,终点省会,路由,邮件量,总的邮件量
北京,北京,[],[],0
北京,天津,['北京-天津'],[82],82
北京,石家庄,"['北京-石家庄', '北京-廊坊-石家庄']","[114, 2]",116
北京,太原,"['北京-太原', '北京-太原-临汾-太原']","[206, 2]",208
北京,呼和浩特,"['北京-呼和浩特', '北京-天津-呼和浩特']","[18, 4]",22
北京,沈阳,"['北京-沈阳', '北京-石家庄-沈阳', '北京-唐山-沈阳']","[170, 1, 1]",172
北京,长春,"['北京-长春', '北京-沈阳-长春', '北京-唐山-沈阳-长春']","[73, 14, 1]",88
北京,哈尔滨,"['北京-哈尔滨', '北京-哈尔滨-佳木斯-哈尔滨', '北京-沈阳-哈尔滨', '北京-沈阳-哈尔滨-佳木斯-哈尔滨', '北京-长春-哈尔滨', '北京-哈尔滨-成都-哈尔滨']","[126, 4, 17, 1, 1, 1]",150
北京,上海,['北京-上海'],[125],125
北京,南京,"['北京-南京', '北京-淮安-南京', '北京-苏州-南京']","[52, 4, 5]",61
北京,杭州,['北京-杭州'],[191],191
北京,合肥,['北京-合肥'],[204],204
北京,福州,"['北京-福州', '北京-泉州-福州', '北京-金华-福州']","[81, 19, 1]",101
北京,南昌,"['北京-南昌', '北京-南昌-九江-南昌', '北京-南昌-上饶-南昌']","[228, 2, 1]",231
北京,济南,"['北京-济南', '北京-临沂-济南']","[439, 4]",443
北京,郑州,"['北京-郑州', '北京-廊坊-郑州', '北京-金华-郑州']","[271, 1, 1]",273
北京,武汉,"['北京-武汉', '北京-武汉-孝感-武汉']","[237, 1]",238
北京,长沙,"['北京-长沙', '北京-邵阳-长沙']","[202, 1]",203
北京,广州,"['北京-广州', '北京-广州-佛山-广州', '北京-广州-中山-广州', '北京-广州-惠州-广州', '北京-佛山-广州', '北京-广州-承德-广州']","[699, 17, 1, 1, 2, 1]",721
北京,南宁,"['北京-南宁', '北京-长沙-南宁', '北京-广州-承德-广州-南宁']","[123, 1, 1]",125
北京,海口,"['北京-东莞-海口', '北京-广州-海口']","[10, 3]",13
北京,重庆,"['北京-重庆', '北京-成都-重庆']","[82, 1]",83
北京,成都,"['北京-成都', '北京-哈尔滨-成都']","[116, 1]",117
北京,贵阳,['北京-贵阳'],[47],47
北京,昆明,"['北京-昆明', '北京-长沙-昆明', '北京-昆明-丽江-昆明']","[40, 3, 1]",44
北京,拉萨,['北京-拉萨'],[1],1
北京,西安,"['北京-西安', '北京-西安-咸阳-西安', '北京-西安-宝鸡-西安', '北京-西安-商洛-西安']","[118, 2, 1, 2]",123
北京,兰州,"['北京-兰州', '北京-西安-兰州', '北京-西安-兰州-西宁-张掖-兰州']","[22, 9, 1]",32
北京,西宁,"['北京-西安-西宁', '北京-西安-兰州-西宁', '北京-西安-兰州-西宁-张掖-兰州-西宁']","[5, 3, 1]",9
北京,银川,"['北京-银川', '北京-西安-银川']","[5, 1]",6
北京,乌鲁木齐,"['北京-乌鲁木齐', '北京-乌鲁木齐-昌吉回族自治州-乌鲁木齐']","[7, 1]",8
天津,北京,['天津-北京'],[58],58
天津,天津,[],[],0
天津,石家庄,['天津-石家庄'],[163],163
天津,太原,"['天津-太原', '天津-太原-天津-长治-太原', '天津-长治-太原', '天津-太原-临汾-太原']","[168, 1, 1, 4]",174
天津,呼和浩特,['天津-呼和浩特'],[129],129
天津,沈阳,"['天津-沈阳', '天津-长春-沈阳', '天津-哈尔滨-沈阳']","[129, 1, 1]",131
天津,长春,"['天津-长春', '天津-沈阳-长春', '天津-长春-天津-长春']","[115, 8, 1]",124
天津,哈尔滨,"['天津-哈尔滨', '天津-长春-哈尔滨', '天津-哈尔滨-齐齐哈尔-哈尔滨', '天津-沈阳-哈尔滨', '天津-哈尔滨-佳木斯-哈尔滨']","[209, 1, 2, 2, 1]",215
天津,上海,"['天津-上海', '天津-上海-天津-上海']","[78, 1]",79
天津,南京,"['天津-南京', '天津-淮安-南京']","[5, 13]",18
天津,杭州,['天津-杭州'],[42],42
天津,合肥,"['天津-合肥', '天津-合肥-天津-安庆-合肥', '天津-安庆-合肥', '天津-合肥-天津-合肥', '天津-苏州-合肥']","[135, 1, 1, 1, 1]",139
天津,福州,"['天津-福州', '天津-泉州-福州']","[44, 5]",49
天津,南昌,"['天津-南昌', '天津-南昌-抚州-南昌', '天津-南昌-赣州-南昌']","[152, 1, 1]",154
天津,济南,['天津-济南'],[173],173
天津,郑州,['天津-郑州'],[186],186
天津,武汉,"['天津-武汉', '天津-沈阳-武汉']","[160, 1]",161
天津,长沙,"['天津-长沙', '天津-唐山-天津-长沙', '天津-邵阳-长沙', '天津-长沙-贵阳-长沙']","[168, 1, 4, 1]",174
天津,广州,"['天津-广州', '天津-唐山-深圳-广州', '天津-广州-佛山-广州', '天津-东莞-广州']","[235, 3, 2, 2]",242
天津,南宁,"['天津-南宁', '天津-长沙-南宁']","[136, 6]",142
天津,海口,['天津-海口'],[1],1
天津,重庆,['天津-重庆'],[51],51
天津,成都,['天津-成都'],[60],60
天津,贵阳,"['天津-贵阳', '天津-唐山-天津-长沙-贵阳', '天津-长沙-贵阳', '天津-长沙-贵阳-长沙-贵阳']","[12, 1, 19, 1]",33
天津,昆明,"['天津-昆明', '天津-长沙-昆明']","[19, 23]",42
天津,拉萨,['天津-北京-拉萨'],[1],1
天津,西安,"['天津-西安', '天津-西安-渭南-西安', '天津-西安-商洛-西安']","[103, 3, 1]",107
天津,兰州,['天津-西安-兰州'],[19],19
天津,西宁,['天津-西安-西宁'],[3],3
天津,银川,['天津-西安-银川'],[13],13
天津,乌鲁木齐,[],[],0
石家庄,北京,['石家庄-北京'],[109],109
石家庄,天津,['石家庄-天津'],[102],102
石家庄,石家庄,[],[],0
石家庄,太原,"['石家庄-太原', '石家庄-太原-临汾-太原']","[295, 5]",300
石家庄,呼和浩特,"['石家庄-保定-呼和浩特', '石家庄-呼和浩特', '石家庄-天津-呼和浩特', '石家庄-衡水-保定-呼和浩特']","[12, 4, 2, 1]",19
石家庄,沈阳,"['石家庄-沈阳', '石家庄-保定-沈阳']","[233, 3]",236
石家庄,长春,"['石家庄-长春', '石家庄-沈阳-长春', '石家庄-保定-长春']","[191, 2, 8]",201
石家庄,哈尔滨,"['石家庄-长春-哈尔滨', '石家庄-沈阳-哈尔滨', '石家庄-哈尔滨', '石家庄-保定-长春-哈尔滨', '石家庄-长春-哈尔滨-佳木斯-哈尔滨', '石家庄-保定-沈阳-哈尔滨']","[102, 12, 1, 7, 1, 1]",124
石家庄,上海,['石家庄-上海'],[85],85
石家庄,南京,"['石家庄-淮安-南京', '石家庄-苏州-南京']","[43, 5]",48
石家庄,杭州,"['石家庄-杭州', '石家庄-金华-杭州']","[90, 66]",156
石家庄,合肥,"['石家庄-合肥', '石家庄-保定-合肥']","[243, 2]",245
石家庄,福州,"['石家庄-泉州-福州', '石家庄-保定-泉州-福州', '石家庄-厦门-福州']","[54, 3, 2]",59
石家庄,南昌,"['石家庄-南昌', '石家庄-南昌-上饶-南昌', '石家庄-保定-南昌', '石家庄-郑州-南昌', '石家庄-南昌-抚州-南昌']","[232, 2, 14, 1, 3]",252
石家庄,济南,"['石家庄-济南', '石家庄-保定-济南']","[282, 3]",285
石家庄,郑州,"['石家庄-郑州', '石家庄-郑州-石家庄-郑州', '石家庄-保定-郑州']","[298, 1, 1]",300
石家庄,武汉,['石家庄-武汉'],[223],223
石家庄,长沙,"['石家庄-长沙', '石家庄-保定-长沙', '石家庄-泉州-长沙', '石家庄-长沙-邵阳-长沙']","[225, 2, 2, 1]",230
石家庄,广州,"['石家庄-广州', '石家庄-广州-佛山-广州', '石家庄-东莞-广州', '石家庄-广州-东莞-广州', '石家庄-深圳-广州', '石家庄-广州-深圳-广州']","[878, 2, 10, 6, 1, 1]",898
石家庄,南宁,"['石家庄-南宁', '石家庄-保定-南宁']","[143, 19]",162
石家庄,海口,"['石家庄-广州-海口', '石家庄-东莞-海口', '石家庄-广州-深圳-广州-海口', '石家庄-广州-东莞-海口']","[15, 4, 1, 1]",21
石家庄,重庆,['石家庄-重庆'],[78],78
石家庄,成都,"['石家庄-成都', '石家庄-重庆-成都']","[80, 2]",82
石家庄,贵阳,"['石家庄-长沙-贵阳', '石家庄-保定-贵阳']","[37, 6]",43
石家庄,昆明,"['石家庄-长沙-昆明', '石家庄-昆明']","[11, 14]",25
石家庄,拉萨,[],[],0
石家庄,西安,['石家庄-西安'],[153],153
石家庄,兰州,['石家庄-西安-兰州'],[12],12
石家庄,西宁,['石家庄-西安-西宁'],[1],1
石家庄,银川,['石家庄-西安-银川'],[18],18
石家庄,乌鲁木齐,['石家庄-西安-乌鲁木齐'],[2],2
太原,北京,"['太原-北京', '太原-北京-廊坊-北京', '太原-北京-廊坊-北京-廊坊-北京']","[21, 1, 1]",23
太原,天津,['太原-天津'],[56],56
太原,石家庄,['太原-石家庄'],[156],156
太原,太原,[],[],0
太原,呼和浩特,['太原-呼和浩特'],[3],3
太原,沈阳,['太原-沈阳'],[38],38
太原,长春,['太原-长春'],[54],54
太原,哈尔滨,"['太原-长春-哈尔滨', '太原-长春-哈尔滨-牡丹江-哈尔滨', '太原-天津-哈尔滨', '太原-沈阳-哈尔滨']","[25, 1, 1, 2]",29
太原,上海,['太原-上海'],[15],15
太原,南京,"['太原-淮安-南京', '太原-南京']","[11, 2]",13
太原,杭州,"['太原-杭州', '太原-温州-杭州']","[62, 3]",65
太原,合肥,"['太原-合肥', '太原-临汾-合肥']","[40, 1]",41
太原,福州,['太原-泉州-福州'],[15],15
太原,南昌,['太原-南昌'],[23],23
太原,济南,['太原-济南'],[153],153
太原,郑州,"['太原-郑州', '太原-郑州-太原-郑州', '太原-郑州-太原-郑州-商丘-郑州', '太原-郑州-商丘-郑州']","[74, 1, 1, 1]",77
太原,武汉,['太原-武汉'],[42],42
太原,长沙,"['太原-长沙', '太原-临汾-长沙']","[16, 1]",17
太原,广州,"['太原-广州', '太原-广州-佛山-广州']","[159, 3]",162
太原,南宁,['太原-南宁'],[29],29
太原,海口,['太原-广州-海口'],[2],2
太原,重庆,['太原-重庆'],[28],28
太原,成都,"['太原-成都', '太原-重庆-成都']","[15, 2]",17
太原,贵阳,['太原-贵阳'],[18],18
太原,昆明,['太原-昆明'],[6],6
太原,拉萨,[],[],0
太原,西安,"['太原-西安', '太原-临汾-西安', '太原-西安-太原-西安', '太原-西安-咸阳-西安', '太原-西安-宝鸡-西安']","[39, 1, 1, 1, 1]",43
太原,兰州,"['太原-西安-兰州', '太原-西安-太原-西安-兰州', '太原-兰州']","[6, 1, 1]",8
太原,西宁,[],[],0
太原,银川,['太原-西安-银川'],[1],1
太原,乌鲁木齐,[],[],0
呼和浩特,北京,['呼和浩特-北京'],[1],1
呼和浩特,天津,['呼和浩特-天津'],[9],9
呼和浩特,石家庄,['呼和浩特-保定-石家庄'],[1],1
呼和浩特,太原,['呼和浩特-太原'],[6],6
呼和浩特,呼和浩特,[],[],0
呼和浩特,沈阳,"['呼和浩特-天津-沈阳', '呼和浩特-沈阳']","[1, 2]",3
呼和浩特,长春,[],[],0
呼和浩特,哈尔滨,"['呼和浩特-哈尔滨', '呼和浩特-沈阳-哈尔滨']","[3, 1]",4
呼和浩特,上海,[],[],0
呼和浩特,南京,[],[],0
呼和浩特,杭州,[],[],0
呼和浩特,合肥,"['呼和浩特-苏州-合肥', '呼和浩特-天津-合肥']","[2, 1]",3
呼和浩特,福州,[],[],0
呼和浩特,南昌,[],[],0
呼和浩特,济南,['呼和浩特-太原-济南'],[4],4
呼和浩特,郑州,['呼和浩特-郑州'],[6],6
呼和浩特,武汉,[],[],0
呼和浩特,长沙,['呼和浩特-长沙'],[1],1
呼和浩特,广州,"['呼和浩特-广州', '呼和浩特-广州-佛山-广州']","[4, 2]",6
呼和浩特,南宁,[],[],0
呼和浩特,海口,[],[],0
呼和浩特,重庆,[],[],0
呼和浩特,成都,['呼和浩特-保定-成都'],[1],1
呼和浩特,贵阳,['呼和浩特-长沙-贵阳'],[1],1
呼和浩特,昆明,[],[],0
呼和浩特,拉萨,[],[],0
呼和浩特,西安,['呼和浩特-太原-西安'],[1],1
