起点省会,终点省会,路由,邮件量,总的邮件量
北京,北京,[],[],0
北京,天津,['北京-天津'],[82],82
北京,石家庄,['北京-石家庄'],[111],111
北京,太原,['北京-太原'],[206],206
北京,呼和浩特,"['北京-呼和浩特', '北京-天津-呼和浩特']","[18, 4]",22
北京,沈阳,"['北京-沈阳', '北京-石家庄-沈阳', '北京-唐山-沈阳']","[170, 1, 1]",172
北京,长春,"['北京-长春', '北京-沈阳-长春', '北京-唐山-沈阳-长春']","[73, 14, 1]",88
北京,哈尔滨,"['北京-哈尔滨', '北京-沈阳-哈尔滨', '北京-长春-哈尔滨']","[126, 17, 1]",144
北京,上海,['北京-上海'],[124],124
北京,南京,"['北京-南京', '北京-淮安-南京', '北京-苏州-南京']","[52, 4, 5]",61
北京,杭州,['北京-杭州'],[189],189
北京,合肥,['北京-合肥'],[204],204
北京,福州,"['北京-福州', '北京-泉州-福州', '北京-金华-福州']","[81, 19, 1]",101
北京,南昌,['北京-南昌'],[228],228
北京,济南,"['北京-济南', '北京-临沂-济南']","[439, 4]",443
北京,郑州,['北京-郑州'],[271],271
北京,武汉,['北京-武汉'],[237],237
北京,长沙,"['北京-长沙', '北京-邵阳-长沙']","[202, 1]",203
北京,广州,"['北京-广州', '北京-佛山-广州']","[699, 2]",701
北京,南宁,"['北京-南宁', '北京-长沙-南宁']","[123, 1]",124
北京,海口,"['北京-东莞-海口', '北京-广州-海口']","[10, 3]",13
北京,重庆,"['北京-重庆', '北京-成都-重庆']","[82, 1]",83
北京,成都,"['北京-成都', '北京-哈尔滨-成都']","[116, 1]",117
北京,贵阳,['北京-贵阳'],[47],47
北京,昆明,"['北京-昆明', '北京-长沙-昆明']","[40, 3]",43
北京,拉萨,['北京-拉萨'],[1],1
北京,西安,['北京-西安'],[118],118
北京,兰州,"['北京-兰州', '北京-西安-兰州']","[22, 9]",31
北京,西宁,"['北京-西安-西宁', '北京-西安-兰州-西宁']","[5, 3]",8
北京,银川,"['北京-银川', '北京-西安-银川']","[5, 1]",6
北京,乌鲁木齐,['北京-乌鲁木齐'],[7],7
天津,北京,['天津-北京'],[58],58
天津,天津,[],[],0
天津,石家庄,['天津-石家庄'],[162],162
天津,太原,['天津-太原'],[168],168
天津,呼和浩特,['天津-呼和浩特'],[128],128
天津,沈阳,"['天津-沈阳', '天津-长春-沈阳']","[129, 1]",130
天津,长春,"['天津-长春', '天津-沈阳-长春']","[114, 8]",122
天津,哈尔滨,"['天津-哈尔滨', '天津-长春-哈尔滨', '天津-沈阳-哈尔滨']","[209, 1, 2]",212
天津,上海,['天津-上海'],[76],76
天津,南京,"['天津-南京', '天津-淮安-南京']","[5, 13]",18
天津,杭州,['天津-杭州'],[41],41
天津,合肥,"['天津-合肥', '天津-苏州-合肥']","[134, 1]",135
天津,福州,"['天津-福州', '天津-泉州-福州']","[44, 5]",49
天津,南昌,['天津-南昌'],[152],152
天津,济南,['天津-济南'],[173],173
天津,郑州,['天津-郑州'],[186],186
天津,武汉,"['天津-武汉', '天津-沈阳-武汉']","[159, 1]",160
天津,长沙,"['天津-长沙', '天津-邵阳-长沙']","[167, 4]",171
天津,广州,"['天津-广州', '天津-东莞-广州']","[235, 2]",237
天津,南宁,"['天津-南宁', '天津-长沙-南宁']","[136, 6]",142
天津,海口,['天津-海口'],[1],1
天津,重庆,['天津-重庆'],[51],51
天津,成都,['天津-成都'],[60],60
天津,贵阳,"['天津-贵阳', '天津-长沙-贵阳']","[12, 18]",30
天津,昆明,"['天津-昆明', '天津-长沙-昆明']","[19, 23]",42
天津,拉萨,['天津-北京-拉萨'],[1],1
天津,西安,['天津-西安'],[103],103
天津,兰州,['天津-西安-兰州'],[19],19
天津,西宁,['天津-西安-西宁'],[3],3
天津,银川,['天津-西安-银川'],[13],13
天津,乌鲁木齐,[],[],0
石家庄,北京,['石家庄-北京'],[109],109
石家庄,天津,['石家庄-天津'],[102],102
石家庄,石家庄,[],[],0
石家庄,太原,['石家庄-太原'],[295],295
石家庄,呼和浩特,"['石家庄-保定-呼和浩特', '石家庄-呼和浩特', '石家庄-天津-呼和浩特']","[12, 4, 2]",18
石家庄,沈阳,"['石家庄-沈阳', '石家庄-保定-沈阳']","[233, 3]",236
石家庄,长春,"['石家庄-长春', '石家庄-沈阳-长春', '石家庄-保定-长春']","[191, 2, 8]",201
石家庄,哈尔滨,"['石家庄-长春-哈尔滨', '石家庄-沈阳-哈尔滨', '石家庄-哈尔滨', '石家庄-保定-长春-哈尔滨', '石家庄-保定-沈阳-哈尔滨']","[102, 12, 1, 7, 1]",123
石家庄,上海,['石家庄-上海'],[85],85
石家庄,南京,"['石家庄-淮安-南京', '石家庄-苏州-南京']","[43, 5]",48
石家庄,杭州,"['石家庄-杭州', '石家庄-金华-杭州']","[90, 66]",156
石家庄,合肥,"['石家庄-合肥', '石家庄-保定-合肥']","[243, 2]",245
石家庄,福州,"['石家庄-泉州-福州', '石家庄-保定-泉州-福州', '石家庄-厦门-福州']","[54, 3, 2]",59
石家庄,南昌,"['石家庄-南昌', '石家庄-保定-南昌', '石家庄-郑州-南昌']","[230, 14, 1]",245
石家庄,济南,"['石家庄-济南', '石家庄-保定-济南']","[282, 3]",285
石家庄,郑州,"['石家庄-郑州', '石家庄-保定-郑州']","[297, 1]",298
石家庄,武汉,['石家庄-武汉'],[223],223
石家庄,长沙,"['石家庄-长沙', '石家庄-保定-长沙']","[225, 2]",227
石家庄,广州,"['石家庄-广州', '石家庄-东莞-广州', '石家庄-深圳-广州']","[878, 10, 1]",889
石家庄,南宁,"['石家庄-南宁', '石家庄-保定-南宁']","[143, 19]",162
石家庄,海口,"['石家庄-广州-海口', '石家庄-东莞-海口', '石家庄-广州-东莞-海口']","[15, 4, 1]",20
石家庄,重庆,['石家庄-重庆'],[78],78
石家庄,成都,"['石家庄-成都', '石家庄-重庆-成都']","[80, 2]",82
石家庄,贵阳,"['石家庄-长沙-贵阳', '石家庄-保定-贵阳']","[37, 6]",43
石家庄,昆明,"['石家庄-长沙-昆明', '石家庄-昆明']","[11, 14]",25
石家庄,拉萨,[],[],0
石家庄,西安,['石家庄-西安'],[153],153
石家庄,兰州,['石家庄-西安-兰州'],[12],12
石家庄,西宁,['石家庄-西安-西宁'],[1],1
石家庄,银川,['石家庄-西安-银川'],[18],18
石家庄,乌鲁木齐,['石家庄-西安-乌鲁木齐'],[2],2
太原,北京,['太原-北京'],[21],21
太原,天津,['太原-天津'],[55],55
太原,石家庄,['太原-石家庄'],[153],153
太原,太原,[],[],0
太原,呼和浩特,['太原-呼和浩特'],[3],3
太原,沈阳,['太原-沈阳'],[38],38
太原,长春,['太原-长春'],[54],54
太原,哈尔滨,"['太原-长春-哈尔滨', '太原-天津-哈尔滨', '太原-沈阳-哈尔滨']","[25, 1, 2]",28
太原,上海,['太原-上海'],[15],15
太原,南京,['太原-淮安-南京'],[11],11
太原,杭州,['太原-杭州'],[60],60
太原,合肥,['太原-合肥'],[40],40
太原,福州,['太原-泉州-福州'],[15],15
太原,南昌,['太原-南昌'],[23],23
太原,济南,['太原-济南'],[150],150
太原,郑州,['太原-郑州'],[72],72
太原,武汉,['太原-武汉'],[42],42
太原,长沙,['太原-长沙'],[16],16
太原,广州,['太原-广州'],[158],158
太原,南宁,['太原-南宁'],[29],29
太原,海口,['太原-广州-海口'],[2],2
太原,重庆,['太原-重庆'],[28],28
太原,成都,"['太原-成都', '太原-重庆-成都']","[15, 2]",17
太原,贵阳,['太原-贵阳'],[18],18
太原,昆明,['太原-昆明'],[6],6
太原,拉萨,[],[],0
太原,西安,"['太原-西安', '太原-临汾-西安']","[37, 1]",38
太原,兰州,"['太原-西安-兰州', '太原-兰州']","[5, 1]",6
太原,西宁,[],[],0
太原,银川,['太原-西安-银川'],[1],1
太原,乌鲁木齐,[],[],0
呼和浩特,北京,['呼和浩特-北京'],[1],1
呼和浩特,天津,['呼和浩特-天津'],[9],9
呼和浩特,石家庄,['呼和浩特-保定-石家庄'],[1],1
呼和浩特,太原,['呼和浩特-太原'],[6],6
呼和浩特,呼和浩特,[],[],0
呼和浩特,沈阳,"['呼和浩特-天津-沈阳', '呼和浩特-沈阳']","[1, 2]",3
呼和浩特,长春,[],[],0
呼和浩特,哈尔滨,"['呼和浩特-哈尔滨', '呼和浩特-沈阳-哈尔滨']","[3, 1]",4
呼和浩特,上海,[],[],0
呼和浩特,南京,[],[],0
呼和浩特,杭州,[],[],0
呼和浩特,合肥,"['呼和浩特-苏州-合肥', '呼和浩特-天津-合肥']","[2, 1]",3
呼和浩特,福州,[],[],0
呼和浩特,南昌,[],[],0
呼和浩特,济南,['呼和浩特-太原-济南'],[4],4
呼和浩特,郑州,['呼和浩特-郑州'],[6],6
呼和浩特,武汉,[],[],0
呼和浩特,长沙,['呼和浩特-长沙'],[1],1
呼和浩特,广州,['呼和浩特-广州'],[4],4
呼和浩特,南宁,[],[],0
呼和浩特,海口,[],[],0
呼和浩特,重庆,[],[],0
呼和浩特,成都,['呼和浩特-保定-成都'],[1],1
呼和浩特,贵阳,['呼和浩特-长沙-贵阳'],[1],1
呼和浩特,昆明,[],[],0
呼和浩特,拉萨,[],[],0
呼和浩特,西安,['呼和浩特-太原-西安'],[1],1
呼和浩特,兰州,['呼和浩特-太原-西安-兰州'],[1],1
呼和浩特,西宁,[],[],0
呼和浩特,银川,[],[],0
呼和浩特,乌鲁木齐,[],[],0
沈阳,北京,['沈阳-北京'],[34],34
沈阳,天津,"['沈阳-天津', '沈阳-大连-天津']","[41, 1]",42
沈阳,石家庄,['沈阳-石家庄'],[67],67
沈阳,太原,['沈阳-太原'],[107],107
沈阳,呼和浩特,"['沈阳-呼和浩特', '沈阳-天津-呼和浩特']","[1, 1]",2
沈阳,沈阳,[],[],0
沈阳,长春,"['沈阳-哈尔滨-长春', '沈阳-长春', '沈阳-四平-长春', '沈阳-锦州-长春', '沈阳-大连-长春']","[1, 1628, 1, 1, 1]",1632
沈阳,哈尔滨,"['沈阳-哈尔滨', '沈阳-长春-哈尔滨', '沈阳-天津-哈尔滨']","[1947, 1, 1]",1949
沈阳,上海,['沈阳-上海'],[20],20
沈阳,南京,['沈阳-苏州-南京'],[3],3
沈阳,杭州,['沈阳-杭州'],[45],45
沈阳,合肥,['沈阳-合肥'],[13],13
沈阳,福州,['沈阳-泉州-福州'],[10],10
沈阳,南昌,['沈阳-南昌'],[47],47
沈阳,济南,['沈阳-济南'],[90],90
沈阳,郑州,"['沈阳-郑州', '沈阳-锦州-郑州']","[37, 1]",38
沈阳,武汉,['沈阳-武汉'],[66],66
沈阳,长沙,['沈阳-长沙'],[18],18
沈阳,广州,['沈阳-广州'],[41],41
沈阳,南宁,['沈阳-南宁'],[10],10
沈阳,海口,['沈阳-东莞-海口'],[3],3
沈阳,重庆,['沈阳-重庆'],[15],15
沈阳,成都,['沈阳-成都'],[23],23
沈阳,贵阳,['沈阳-贵阳'],[4],4
沈阳,昆明,['沈阳-昆明'],[26],26
沈阳,拉萨,[],[],0
沈阳,西安,['沈阳-西安'],[12],12
沈阳,兰州,['沈阳-西安-兰州'],[3],3
沈阳,西宁,[],[],0
沈阳,银川,['沈阳-西安-银川'],[1],1
沈阳,乌鲁木齐,[],[],0
长春,北京,"['长春-天津-北京', '长春-北京']","[1, 6]",7
长春,天津,['长春-天津'],[10],10
长春,石家庄,['长春-天津-石家庄'],[3],3
长春,太原,['长春-太原'],[13],13
长春,呼和浩特,['长春-天津-呼和浩特'],[1],1
长春,沈阳,"['长春-沈阳', '长春-天津-沈阳']","[16, 1]",17
长春,长春,[],[],0
长春,哈尔滨,"['长春-哈尔滨', '长春-齐齐哈尔-哈尔滨']","[886, 1]",887
长春,上海,['长春-上海'],[9],9
长春,南京,[],[],0
长春,杭州,['长春-杭州'],[4],4
长春,合肥,['长春-合肥'],[2],2
长春,福州,['长春-泉州-福州'],[3],3
长春,南昌,['长春-南昌'],[9],9
长春,济南,['长春-济南'],[10],10
长春,郑州,['长春-郑州'],[6],6
长春,武汉,"['长春-沈阳-武汉', '长春-天津-沈阳-武汉']","[4, 1]",5
