起点省会,终点省会,是否直连,邮件量
北京,北京,0,0
北京,天津,1,592
北京,石家庄,1,332
北京,太原,1,248
北京,呼和浩特,1,160
北京,沈阳,1,573
北京,长春,1,236
北京,哈尔滨,1,332
北京,上海,1,935
北京,南京,1,266
北京,杭州,1,5042
北京,合肥,1,485
北京,福州,1,85
北京,南昌,1,94
北京,济南,1,751
北京,郑州,1,309
北京,武汉,1,273
北京,长沙,1,231
北京,广州,1,1760
北京,南宁,1,3
北京,海口,0,0
北京,重庆,1,96
北京,成都,1,193
北京,贵阳,1,41
北京,昆明,1,60
北京,拉萨,0,0
北京,西安,1,155
北京,兰州,1,36
北京,西宁,0,0
北京,银川,1,42
北京,乌鲁木齐,1,25
天津,北京,1,509
天津,天津,0,0
天津,石家庄,1,155
天津,太原,1,57
天津,呼和浩特,1,17
天津,沈阳,1,38
天津,长春,1,57
天津,哈尔滨,1,87
天津,上海,1,272
天津,南京,1,10
天津,杭州,1,346
天津,合肥,1,60
天津,福州,0,0
天津,南昌,1,32
天津,济南,1,136
天津,郑州,1,59
天津,武汉,1,49
天津,长沙,1,59
天津,广州,1,313
天津,南宁,0,0
天津,海口,1,2
天津,重庆,1,3
天津,成都,1,70
天津,贵阳,1,15
天津,昆明,1,11
天津,拉萨,0,0
天津,西安,1,63
天津,兰州,0,0
天津,西宁,0,0
天津,银川,0,0
天津,乌鲁木齐,1,1
石家庄,北京,1,575
石家庄,天津,1,132
石家庄,石家庄,0,0
石家庄,太原,1,258
石家庄,呼和浩特,1,168
石家庄,沈阳,1,65
石家庄,长春,1,41
石家庄,哈尔滨,1,66
石家庄,上海,1,122
石家庄,南京,1,43
石家庄,杭州,1,289
石家庄,合肥,1,28
石家庄,福州,1,2
石家庄,南昌,1,41
石家庄,济南,1,72
石家庄,郑州,1,162
石家庄,武汉,1,117
石家庄,长沙,1,72
石家庄,广州,1,543
石家庄,南宁,0,0
石家庄,海口,0,0
石家庄,重庆,1,19
石家庄,成都,1,76
石家庄,贵阳,1,69
石家庄,昆明,1,21
石家庄,拉萨,0,0
石家庄,西安,1,178
石家庄,兰州,1,96
石家庄,西宁,0,0
石家庄,银川,1,2
石家庄,乌鲁木齐,0,0
太原,北京,1,86
太原,天津,1,23
太原,石家庄,1,43
太原,太原,0,0
太原,呼和浩特,0,0
太原,沈阳,0,0
太原,长春,0,0
太原,哈尔滨,0,0
太原,上海,1,45
太原,南京,0,0
太原,杭州,1,211
太原,合肥,0,0
太原,福州,0,0
太原,南昌,0,0
太原,济南,1,15
太原,郑州,1,45
太原,武汉,1,22
太原,长沙,1,34
太原,广州,1,171
太原,南宁,0,0
太原,海口,1,3
太原,重庆,0,0
太原,成都,1,1
太原,贵阳,0,0
太原,昆明,0,0
太原,拉萨,0,0
太原,西安,1,46
太原,兰州,0,0
太原,西宁,0,0
太原,银川,0,0
太原,乌鲁木齐,0,0
呼和浩特,北京,1,677
呼和浩特,天津,1,2
呼和浩特,石家庄,1,846
呼和浩特,太原,0,0
呼和浩特,呼和浩特,0,0
呼和浩特,沈阳,1,3
呼和浩特,长春,1,2
呼和浩特,哈尔滨,1,1
呼和浩特,上海,1,1
呼和浩特,南京,1,3
呼和浩特,杭州,1,4
呼和浩特,合肥,0,0
呼和浩特,福州,0,0
呼和浩特,南昌,0,0
呼和浩特,济南,0,0
呼和浩特,郑州,1,1
呼和浩特,武汉,1,20
呼和浩特,长沙,1,1
呼和浩特,广州,1,1
呼和浩特,南宁,0,0
呼和浩特,海口,0,0
呼和浩特,重庆,0,0
呼和浩特,成都,1,1
呼和浩特,贵阳,0,0
呼和浩特,昆明,0,0
呼和浩特,拉萨,0,0
呼和浩特,西安,1,3
呼和浩特,兰州,0,0
呼和浩特,西宁,0,0
呼和浩特,银川,1,1
呼和浩特,乌鲁木齐,0,0
沈阳,北京,1,367
沈阳,天津,1,64
沈阳,石家庄,1,1
沈阳,太原,0,0
沈阳,呼和浩特,0,0
沈阳,沈阳,0,0
沈阳,长春,1,244
沈阳,哈尔滨,1,199
沈阳,上海,1,76
沈阳,南京,0,0
沈阳,杭州,1,350
沈阳,合肥,0,0
沈阳,福州,1,1
沈阳,南昌,1,16
沈阳,济南,1,1
沈阳,郑州,1,103
沈阳,武汉,1,53
沈阳,长沙,0,0
沈阳,广州,1,359
沈阳,南宁,1,5
沈阳,海口,1,10
沈阳,重庆,1,7
沈阳,成都,1,43
沈阳,贵阳,1,2
沈阳,昆明,1,12
沈阳,拉萨,0,0
沈阳,西安,1,8
沈阳,兰州,1,7
沈阳,西宁,1,7
沈阳,银川,1,13
沈阳,乌鲁木齐,1,2
长春,北京,1,228
长春,天津,1,53
长春,石家庄,0,0
长春,太原,0,0
长春,呼和浩特,0,0
长春,沈阳,1,82
长春,长春,0,0
长春,哈尔滨,1,102
长春,上海,1,75
长春,南京,0,0
长春,杭州,1,203
长春,合肥,0,0
长春,福州,1,1
长春,南昌,0,0
长春,济南,1,606
长春,郑州,1,84
长春,武汉,1,88
长春,长沙,0,0
长春,广州,1,289
长春,南宁,0,0
长春,海口,0,0
长春,重庆,0,0
长春,成都,1,1
长春,贵阳,0,0
长春,昆明,0,0
长春,拉萨,0,0
长春,西安,0,0
长春,兰州,0,0
长春,西宁,0,0
长春,银川,0,0
长春,乌鲁木齐,0,0
哈尔滨,北京,1,238
哈尔滨,天津,1,65
哈尔滨,石家庄,1,204
哈尔滨,太原,1,1
哈尔滨,呼和浩特,0,0
哈尔滨,沈阳,1,99
哈尔滨,长春,1,100
哈尔滨,哈尔滨,0,0
哈尔滨,上海,1,88
哈尔滨,南京,0,0
哈尔滨,杭州,1,358
哈尔滨,合肥,0,0
哈尔滨,福州,0,0
哈尔滨,南昌,1,2
哈尔滨,济南,1,111
哈尔滨,郑州,1,1
哈尔滨,武汉,1,41
哈尔滨,长沙,1,1
哈尔滨,广州,1,392
哈尔滨,南宁,0,0
哈尔滨,海口,1,1
哈尔滨,重庆,1,1
哈尔滨,成都,1,4
哈尔滨,贵阳,1,1
哈尔滨,昆明,0,0
哈尔滨,拉萨,0,0
哈尔滨,西安,1,5
哈尔滨,兰州,0,0
哈尔滨,西宁,0,0
哈尔滨,银川,0,0
哈尔滨,乌鲁木齐,1,5
上海,北京,1,2541
上海,天津,1,347
上海,石家庄,1,590
上海,太原,1,232
上海,呼和浩特,1,17
上海,沈阳,1,113
上海,长春,1,251
上海,哈尔滨,1,77
上海,上海,0,0
上海,南京,1,1262
上海,杭州,1,6703
上海,合肥,1,829
上海,福州,1,428
上海,南昌,1,377
上海,济南,1,333
上海,郑州,1,579
上海,武汉,1,1190
上海,长沙,1,848
上海,广州,1,5266
上海,南宁,1,168
上海,海口,1,8
上海,重庆,1,293
上海,成都,1,569
上海,贵阳,1,129
上海,昆明,1,151
上海,拉萨,1,8
上海,西安,1,474
上海,兰州,1,39
上海,西宁,1,4
上海,银川,1,9
上海,乌鲁木齐,1,23
南京,北京,1,430
南京,天津,1,3
南京,石家庄,1,2
南京,太原,1,2
南京,呼和浩特,1,1
南京,沈阳,1,1
南京,长春,0,0
南京,哈尔滨,1,1
南京,上海,1,592
南京,南京,0,0
南京,杭州,1,1085
南京,合肥,1,176
南京,福州,1,1
南京,南昌,1,3
南京,济南,1,3
南京,郑州,1,95
南京,武汉,1,166
南京,长沙,1,98
南京,广州,1,355
南京,南宁,0,0
南京,海口,0,0
南京,重庆,1,49
南京,成都,1,78
南京,贵阳,0,0
南京,昆明,1,2
南京,拉萨,0,0
南京,西安,0,0
南京,兰州,0,0
南京,西宁,0,0
南京,银川,0,0
南京,乌鲁木齐,0,0
杭州,北京,1,1842
杭州,天津,1,260
杭州,石家庄,1,542
杭州,太原,1,303
杭州,呼和浩特,1,52
杭州,沈阳,1,109
杭州,长春,1,124
杭州,哈尔滨,1,146
杭州,上海,1,3025
杭州,南京,1,635
杭州,杭州,0,0
杭州,合肥,1,691
杭州,福州,1,289
杭州,南昌,1,510
杭州,济南,1,319
杭州,郑州,1,538
杭州,武汉,1,946
杭州,长沙,1,587
杭州,广州,1,5883
杭州,南宁,1,114
杭州,海口,1,39
杭州,重庆,1,423
杭州,成都,1,558
杭州,贵阳,1,244
杭州,昆明,1,281
杭州,拉萨,0,0
杭州,西安,1,458
杭州,兰州,1,179
杭州,西宁,1,10
杭州,银川,1,70
杭州,乌鲁木齐,1,51
合肥,北京,1,368
合肥,天津,1,69
合肥,石家庄,1,155
合肥,太原,1,54
合肥,呼和浩特,1,2
合肥,沈阳,1,15
合肥,长春,1,8
合肥,哈尔滨,1,7
合肥,上海,1,353
合肥,南京,1,187
合肥,杭州,1,1489
合肥,合肥,0,0
合肥,福州,1,58
合肥,南昌,1,104
合肥,济南,1,80
合肥,郑州,1,3
合肥,武汉,1,312
合肥,长沙,1,149
合肥,广州,1,333
合肥,南宁,1,7
合肥,海口,1,4
合肥,重庆,1,34
合肥,成都,1,88
合肥,贵阳,1,21
合肥,昆明,1,16
合肥,拉萨,0,0
合肥,西安,1,46
合肥,兰州,1,8
合肥,西宁,0,0
合肥,银川,1,4
合肥,乌鲁木齐,1,6
福州,北京,1,200
福州,天津,1,36
福州,石家庄,1,91
福州,太原,1,16
福州,呼和浩特,0,0
福州,沈阳,1,56
福州,长春,1,17
福州,哈尔滨,1,30
福州,上海,1,483
福州,南京,1,3
福州,杭州,1,1715
福州,合肥,1,4
福州,福州,0,0
福州,南昌,1,82
福州,济南,1,2
福州,郑州,1,113
福州,武汉,1,125
福州,长沙,1,117
福州,广州,1,1360
福州,南宁,1,2
福州,海口,0,0
福州,重庆,1,2
福州,成都,1,2
福州,贵阳,0,0
福州,昆明,1,27
福州,拉萨,0,0
福州,西安,1,33
福州,兰州,1,3
福州,西宁,0,0
福州,银川,0,0
福州,乌鲁木齐,1,2
南昌,北京,1,105
南昌,天津,1,3
南昌,石家庄,1,43
南昌,太原,1,2
南昌,呼和浩特,0,0
南昌,沈阳,1,6
南昌,长春,1,1
南昌,哈尔滨,1,1
南昌,上海,1,141
南昌,南京,1,3
南昌,杭州,1,685
南昌,合肥,1,55
南昌,福州,1,1
南昌,南昌,0,0
南昌,济南,1,23
南昌,郑州,1,48
南昌,武汉,1,139
南昌,长沙,1,111
南昌,广州,1,967
南昌,南宁,1,16
南昌,海口,0,0
南昌,重庆,1,26
南昌,成都,1,45
南昌,贵阳,1,14
南昌,昆明,1,18
南昌,拉萨,0,0
南昌,西安,1,32
南昌,兰州,0,0
南昌,西宁,0,0
南昌,银川,1,1
南昌,乌鲁木齐,0,0
济南,北京,1,195
济南,天津,1,40
济南,石家庄,1,69
济南,太原,1,34
济南,呼和浩特,0,0
济南,沈阳,0,0
济南,长春,1,24
济南,哈尔滨,1,32
济南,上海,1,182
济南,南京,1,5
济南,杭州,1,440
济南,合肥,1,62
济南,福州,1,45
济南,南昌,1,15
济南,济南,0,0
济南,郑州,1,73
济南,武汉,1,134
济南,长沙,1,74
济南,广州,1,355
济南,南宁,0,0
济南,海口,0,0
济南,重庆,1,24
济南,成都,1,88
济南,贵阳,1,2
济南,昆明,1,2
济南,拉萨,0,0
济南,西安,1,63
济南,兰州,0,0
济南,西宁,0,0
济南,银川,0,0
济南,乌鲁木齐,1,1
郑州,北京,1,235
郑州,天津,1,37
郑州,石家庄,1,96
郑州,太原,1,52
郑州,呼和浩特,0,0
郑州,沈阳,1,15
郑州,长春,1,18
郑州,哈尔滨,0,0
郑州,上海,1,71
郑州,南京,1,3
郑州,杭州,1,2214
郑州,合肥,1,27
郑州,福州,1,86
郑州,南昌,1,74
郑州,济南,1,120
郑州,郑州,0,0
郑州,武汉,1,65
郑州,长沙,1,27
郑州,广州,1,258
郑州,南宁,1,39
郑州,海口,1,8
郑州,重庆,1,12
郑州,成都,1,35
郑州,贵阳,1,10
郑州,昆明,1,10
郑州,拉萨,0,0
郑州,西安,1,111
郑州,兰州,1,28
郑州,西宁,0,0
郑州,银川,1,9
郑州,乌鲁木齐,0,0
武汉,北京,1,547
武汉,天津,1,121
武汉,石家庄,1,147
武汉,太原,1,30
武汉,呼和浩特,1,14
武汉,沈阳,1,38
武汉,长春,1,23
武汉,哈尔滨,1,19
武汉,上海,1,886
武汉,南京,1,74
武汉,杭州,1,1506
武汉,合肥,1,299
武汉,福州,1,51
武汉,南昌,1,179
武汉,济南,1,54
武汉,郑州,1,107
武汉,武汉,0,0
武汉,长沙,1,315
武汉,广州,1,1176
武汉,南宁,1,100
武汉,海口,1,7
武汉,重庆,1,159
武汉,成都,1,225
武汉,贵阳,1,60
武汉,昆明,1,47
武汉,拉萨,0,0
武汉,西安,1,152
武汉,兰州,1,34
武汉,西宁,1,9
武汉,银川,1,14
武汉,乌鲁木齐,1,15
长沙,北京,1,452
长沙,天津,1,59
长沙,石家庄,1,180
长沙,太原,1,33
长沙,呼和浩特,1,18
长沙,沈阳,1,25
长沙,长春,1,14
长沙,哈尔滨,1,16
长沙,上海,1,401
长沙,南京,1,67
长沙,杭州,1,1309
长沙,合肥,1,130
长沙,福州,1,117
长沙,南昌,1,163
长沙,济南,1,53
长沙,郑州,1,301
长沙,武汉,1,417
长沙,长沙,0,0
长沙,广州,1,2072
长沙,南宁,1,125
长沙,海口,1,18
长沙,重庆,1,104
长沙,成都,1,167
长沙,贵阳,1,164
长沙,昆明,1,113
长沙,拉萨,1,1
长沙,西安,1,133
长沙,兰州,1,8
长沙,西宁,1,5
长沙,银川,1,6
长沙,乌鲁木齐,1,7
广州,北京,1,826
广州,天津,1,121
广州,石家庄,1,360
广州,太原,1,160
广州,呼和浩特,1,116
广州,沈阳,1,203
广州,长春,1,161
广州,哈尔滨,1,192
广州,上海,1,510
广州,南京,1,154
广州,杭州,1,1256
广州,合肥,1,156
广州,福州,1,133
广州,南昌,1,170
广州,济南,1,167
广州,郑州,1,724
广州,武汉,1,421
广州,长沙,1,393
广州,广州,0,0
广州,南宁,1,296
广州,海口,1,154
广州,重庆,1,206
广州,成都,1,282
广州,贵阳,1,133
广州,昆明,1,211
广州,拉萨,1,3
广州,西安,1,213
广州,兰州,1,138
广州,西宁,1,23
广州,银川,1,65
广州,乌鲁木齐,1,79
南宁,北京,1,2
南宁,天津,1,1
南宁,石家庄,0,0
南宁,太原,1,1
南宁,呼和浩特,0,0
南宁,沈阳,0,0
南宁,长春,0,0
南宁,哈尔滨,0,0
南宁,上海,1,165
南宁,南京,1,2
南宁,杭州,1,869
南宁,合肥,0,0
南宁,福州,0,0
南宁,南昌,0,0
南宁,济南,0,0
南宁,郑州,1,88
南宁,武汉,1,97
南宁,长沙,1,381
南宁,广州,1,829
南宁,南宁,0,0
南宁,海口,1,1
南宁,重庆,1,1
南宁,成都,1,36
南宁,贵阳,1,46
南宁,昆明,0,0
南宁,拉萨,0,0
南宁,西安,0,0
南宁,兰州,1,2
南宁,西宁,0,0
南宁,银川,0,0
南宁,乌鲁木齐,0,0
海口,北京,1,21
海口,天津,0,0
海口,石家庄,0,0
海口,太原,1,1
海口,呼和浩特,0,0
海口,沈阳,1,4
海口,长春,0,0
海口,哈尔滨,1,2
海口,上海,1,14
海口,南京,0,0
海口,杭州,1,32
海口,合肥,0,0
海口,福州,0,0
海口,南昌,0,0
海口,济南,1,3
海口,郑州,1,2
海口,武汉,1,6
海口,长沙,1,2
海口,广州,1,337
海口,南宁,0,0
海口,海口,0,0
海口,重庆,1,3
海口,成都,1,2
海口,贵阳,1,1
海口,昆明,0,0
海口,拉萨,0,0
海口,西安,1,2
海口,兰州,1,3
海口,西宁,0,0
海口,银川,0,0
海口,乌鲁木齐,0,0
重庆,北京,1,382
重庆,天津,1,1
重庆,石家庄,1,4
重庆,太原,1,1
重庆,呼和浩特,0,0
重庆,沈阳,1,3
重庆,长春,0,0
重庆,哈尔滨,0,0
重庆,上海,1,140
重庆,南京,1,1
重庆,杭州,1,365
重庆,合肥,1,5
重庆,福州,1,10
重庆,南昌,1,44
重庆,济南,1,45
重庆,郑州,1,77
重庆,武汉,1,281
重庆,长沙,1,183
重庆,广州,1,722
重庆,南宁,1,37
重庆,海口,1,1
重庆,重庆,0,0
重庆,成都,1,412
重庆,贵阳,1,188
重庆,昆明,1,138
重庆,拉萨,0,0
重庆,西安,1,166
重庆,兰州,1,3
重庆,西宁,0,0
重庆,银川,0,0
重庆,乌鲁木齐,1,1
成都,北京,1,312
成都,天津,1,6
成都,石家庄,1,80
成都,太原,1,11
成都,呼和浩特,0,0
成都,沈阳,1,11
成都,长春,0,0
成都,哈尔滨,1,3
成都,上海,1,234
成都,南京,1,6
成都,杭州,1,895
成都,合肥,1,132
成都,福州,1,5
成都,南昌,1,21
成都,济南,1,74
成都,郑州,1,88
成都,武汉,1,105
成都,长沙,1,59
成都,广州,1,655
成都,南宁,1,27
成都,海口,1,5
成都,重庆,1,142
成都,成都,0,0
成都,贵阳,1,59
成都,昆明,1,78
