起点省会,终点省会,是否直连,邮件量
北京,北京,0,0
北京,天津,1,82
北京,石家庄,1,114
北京,太原,1,206
北京,呼和浩特,1,18
北京,沈阳,1,170
北京,长春,1,73
北京,哈尔滨,1,126
北京,上海,1,125
北京,南京,1,52
北京,杭州,1,191
北京,合肥,1,204
北京,福州,1,81
北京,南昌,1,228
北京,济南,1,439
北京,郑州,1,271
北京,武汉,1,237
北京,长沙,1,202
北京,广州,1,699
北京,南宁,1,123
北京,海口,0,0
北京,重庆,1,82
北京,成都,1,116
北京,贵阳,1,47
北京,昆明,1,40
北京,拉萨,1,1
北京,西安,1,118
北京,兰州,1,22
北京,西宁,0,0
北京,银川,1,5
北京,乌鲁木齐,1,7
天津,北京,1,58
天津,天津,0,0
天津,石家庄,1,163
天津,太原,1,168
天津,呼和浩特,1,129
天津,沈阳,1,129
天津,长春,1,115
天津,哈尔滨,1,209
天津,上海,1,78
天津,南京,1,5
天津,杭州,1,42
天津,合肥,1,135
天津,福州,1,44
天津,南昌,1,152
天津,济南,1,173
天津,郑州,1,186
天津,武汉,1,160
天津,长沙,1,168
天津,广州,1,235
天津,南宁,1,136
天津,海口,1,1
天津,重庆,1,51
天津,成都,1,60
天津,贵阳,1,12
天津,昆明,1,19
天津,拉萨,0,0
天津,西安,1,103
天津,兰州,0,0
天津,西宁,0,0
天津,银川,0,0
天津,乌鲁木齐,0,0
石家庄,北京,1,109
石家庄,天津,1,102
石家庄,石家庄,0,0
石家庄,太原,1,295
石家庄,呼和浩特,1,4
石家庄,沈阳,1,233
石家庄,长春,1,191
石家庄,哈尔滨,1,1
石家庄,上海,1,85
石家庄,南京,0,0
石家庄,杭州,1,90
石家庄,合肥,1,243
石家庄,福州,0,0
石家庄,南昌,1,232
石家庄,济南,1,282
石家庄,郑州,1,298
石家庄,武汉,1,223
石家庄,长沙,1,225
石家庄,广州,1,878
石家庄,南宁,1,143
石家庄,海口,0,0
石家庄,重庆,1,78
石家庄,成都,1,80
石家庄,贵阳,0,0
石家庄,昆明,1,14
石家庄,拉萨,0,0
石家庄,西安,1,153
石家庄,兰州,0,0
石家庄,西宁,0,0
石家庄,银川,0,0
石家庄,乌鲁木齐,0,0
太原,北京,1,21
太原,天津,1,56
太原,石家庄,1,156
太原,太原,0,0
太原,呼和浩特,1,3
太原,沈阳,1,38
太原,长春,1,54
太原,哈尔滨,0,0
太原,上海,1,15
太原,南京,1,2
太原,杭州,1,62
太原,合肥,1,40
太原,福州,0,0
太原,南昌,1,23
太原,济南,1,153
太原,郑州,1,74
太原,武汉,1,42
太原,长沙,1,16
太原,广州,1,159
太原,南宁,1,29
太原,海口,0,0
太原,重庆,1,28
太原,成都,1,15
太原,贵阳,1,18
太原,昆明,1,6
太原,拉萨,0,0
太原,西安,1,39
太原,兰州,1,1
太原,西宁,0,0
太原,银川,0,0
太原,乌鲁木齐,0,0
呼和浩特,北京,1,1
呼和浩特,天津,1,9
呼和浩特,石家庄,0,0
呼和浩特,太原,1,6
呼和浩特,呼和浩特,0,0
呼和浩特,沈阳,1,2
呼和浩特,长春,0,0
呼和浩特,哈尔滨,1,3
呼和浩特,上海,0,0
呼和浩特,南京,0,0
呼和浩特,杭州,0,0
呼和浩特,合肥,0,0
呼和浩特,福州,0,0
呼和浩特,南昌,0,0
呼和浩特,济南,0,0
呼和浩特,郑州,1,6
呼和浩特,武汉,0,0
呼和浩特,长沙,1,1
呼和浩特,广州,1,4
呼和浩特,南宁,0,0
