起点省会,终点省会,是否直连,邮件量
北京,北京,0,0.0
北京,天津,1,29.0
北京,石家庄,1,24.0
北京,太原,1,10.0
北京,呼和浩特,1,12.0
北京,沈阳,1,21.0
北京,长春,1,3.0
北京,哈尔滨,1,15.0
北京,上海,1,61.0
北京,南京,1,6.0
北京,杭州,1,43.0
北京,合肥,1,8.0
北京,福州,1,4.0
北京,南昌,1,9.0
北京,济南,1,10.0
北京,郑州,1,7.0
北京,武汉,1,16.0
北京,长沙,1,9.0
北京,广州,1,18.0
北京,南宁,1,1.0
北京,海口,0,0.0
北京,重庆,1,6.0
北京,成都,1,12.0
北京,贵阳,1,2.0
北京,昆明,1,7.0
北京,拉萨,0,0.0
北京,西安,1,11.0
北京,兰州,1,4.0
北京,西宁,0,0.0
北京,银川,0,0.0
北京,乌鲁木齐,0,0.0
天津,北京,1,58.0
天津,天津,0,0.0
天津,石家庄,1,11.0
天津,太原,0,0.0
天津,呼和浩特,1,8.0
天津,沈阳,1,1.0
天津,长春,0,0.0
天津,哈尔滨,0,0.0
天津,上海,1,1.0
天津,南京,0,0.0
天津,杭州,1,1.0
天津,合肥,0,0.0
天津,福州,0,0.0
天津,南昌,0,0.0
天津,济南,1,1.0
天津,郑州,0,0.0
天津,武汉,1,1.0
天津,长沙,1,1.0
天津,广州,1,1.0
天津,南宁,0,0.0
天津,海口,0,0.0
天津,重庆,0,0.0
天津,成都,1,1.0
天津,贵阳,1,1.0
天津,昆明,0,0.0
天津,拉萨,0,0.0
天津,西安,0,0.0
天津,兰州,0,0.0
天津,西宁,0,0.0
天津,银川,0,0.0
天津,乌鲁木齐,0,0.0
石家庄,北京,1,6.0
石家庄,天津,1,3.0
石家庄,石家庄,0,0.0
石家庄,太原,0,0.0
石家庄,呼和浩特,0,0.0
石家庄,沈阳,0,0.0
石家庄,长春,0,0.0
石家庄,哈尔滨,0,0.0
石家庄,上海,0,0.0
石家庄,南京,0,0.0
石家庄,杭州,0,0.0
石家庄,合肥,0,0.0
石家庄,福州,0,0.0
石家庄,南昌,0,0.0
石家庄,济南,1,15.0
石家庄,郑州,0,0.0
石家庄,武汉,0,0.0
石家庄,长沙,0,0.0
石家庄,广州,0,0.0
石家庄,南宁,0,0.0
石家庄,海口,0,0.0
石家庄,重庆,0,0.0
石家庄,成都,1,4.0
石家庄,贵阳,0,0.0
石家庄,昆明,1,1.0
石家庄,拉萨,0,0.0
石家庄,西安,0,0.0
石家庄,兰州,0,0.0
石家庄,西宁,0,0.0
石家庄,银川,0,0.0
石家庄,乌鲁木齐,0,0.0
太原,北京,0,0.0
太原,天津,0,0.0
太原,石家庄,0,0.0
太原,太原,0,0.0
太原,呼和浩特,0,0.0
太原,沈阳,0,0.0
太原,长春,0,0.0
太原,哈尔滨,0,0.0
太原,上海,0,0.0
太原,南京,0,0.0
太原,杭州,0,0.0
太原,合肥,0,0.0
太原,福州,0,0.0
太原,南昌,0,0.0
太原,济南,0,0.0
太原,郑州,0,0.0
太原,武汉,0,0.0
太原,长沙,0,0.0
太原,广州,0,0.0
太原,南宁,0,0.0
太原,海口,0,0.0
太原,重庆,0,0.0
太原,成都,0,0.0
太原,贵阳,0,0.0
太原,昆明,0,0.0
太原,拉萨,0,0.0
太原,西安,0,0.0
太原,兰州,0,0.0
太原,西宁,0,0.0
太原,银川,0,0.0
太原,乌鲁木齐,0,0.0
呼和浩特,北京,0,0.0
呼和浩特,天津,0,0.0
呼和浩特,石家庄,0,0.0
呼和浩特,太原,0,0.0
呼和浩特,呼和浩特,0,0.0
呼和浩特,沈阳,0,0.0
呼和浩特,长春,0,0.0
呼和浩特,哈尔滨,0,0.0
呼和浩特,上海,0,0.0
呼和浩特,南京,0,0.0
呼和浩特,杭州,0,0.0
呼和浩特,合肥,0,0.0
呼和浩特,福州,0,0.0
呼和浩特,南昌,0,0.0
