城市名称,所属省份,所属中心局,所属省市中心,
北京,北京,北京,北京,0
天津,天津,天津,天津,1
石家庄,河北,石家庄,石家庄,2
太原,山西,太原,太原,3
呼和浩特,内蒙古,呼和浩特,呼和浩特,4
沈阳,辽宁,沈阳,沈阳,5
长春,吉林,长春,长春,6
哈尔滨,黑龙江,哈尔滨,哈尔滨,7
上海,上海,上海,上海,8
南京,江苏,南京,南京,9
杭州,浙江,杭州,杭州,10
合肥,安徽,合肥,合肥,11
福州,福建,福州,福州,12
南昌,江西,南昌,南昌,13
济南,山东,济南,济南,14
郑州,河南,郑州,郑州,15
武汉,湖北,武汉,武汉,16
长沙,湖南,长沙,长沙,17
广州,广东,广州,广州,18
南宁,广西,南宁,南宁,19
海口,海南,海口,海口,20
重庆,重庆,重庆,重庆,21
成都,四川,成都,成都,22
贵阳,贵州,贵阳,贵阳,23
昆明,云南,昆明,昆明,24
拉萨,西藏,拉萨,拉萨,25
西安,陕西,西安,西安,26
兰州,甘肃,兰州,兰州,27
西宁,青海,西宁,西宁,28
银川,宁夏,银川,银川,29
乌鲁木齐,新疆,乌鲁木齐,乌鲁木齐,30
唐山,河北,唐山,石家庄,31
廊坊,河北,廊坊,石家庄,32
保定,河北,保定,石家庄,33
侯马,山西,侯马,太原,34
包头,内蒙古,包头,呼和浩特,35
大连,辽宁,大连,沈阳,36
锦州,辽宁,锦州,沈阳,37
常州,江苏,常州,南京,38
无锡,江苏,无锡,南京,39
苏州,江苏,苏州,南京,40
徐州,江苏,徐州,南京,41
连云港,江苏,连云港,南京,42
淮安,江苏,淮安,南京,43
盐城,江苏,盐城,南京,44
扬州,江苏,扬州,南京,45
南通,江苏,南通,南京,46
湖州,浙江,湖州,杭州,47
嘉兴,浙江,嘉兴,杭州,48
宁波,浙江,宁波,杭州,49
台州,浙江,台州,杭州,50
金华,浙江,金华,杭州,51
义乌,浙江,义乌,杭州,52
温州,浙江,温州,杭州,53
蚌埠,安徽,蚌埠,合肥,54
芜湖,安徽,芜湖,合肥,55
安庆,安徽,安庆,合肥,56
厦门,福建,厦门,福州,57
泉州,福建,泉州,福州,58
鹰潭,江西,鹰潭,南昌,59
赣州,江西,赣州,南昌,60
潍坊,山东,潍坊,济南,61
烟台,山东,烟台,济南,62
青岛,山东,青岛,济南,63
济宁,山东,济宁,济南,64
临沂,山东,临沂,济南,65
漯河,河南,漯河,郑州,66
信阳,河南,信阳,郑州,67
洛阳,河南,洛阳,郑州,68
荆州,湖北,荆州,武汉,69
襄阳,湖北,襄阳,武汉,70
常德,湖南,常德,长沙,71
衡阳,湖南,衡阳,长沙,72
邵阳,湖南,邵阳,长沙,73
汕头,广东,汕头,广州,74
深圳,广东,深圳,广州,75
东莞,广东,东莞,广州,76
湛江,广东,湛江,广州,77
中山,广东,中山,广州,78
柳州,广西,柳州,南宁,79
南充,四川,南充,成都,80
内江,四川,内江,成都,81
大理州,云南,大理州,昆明,82
宝鸡,陕西,宝鸡,西安,83
阿克苏,新疆,阿克苏,乌鲁木齐,84
喀什,新疆,喀什,乌鲁木齐,85
衡水,河北,石家庄,石家庄,86
邢台,河北,石家庄,石家庄,87
邯郸,河北,石家庄,石家庄,88
沧州,河北,天津,石家庄,89
秦皇岛,河北,天津,石家庄,90
承德,河北,北京,石家庄,91
张家口,河北,北京,石家庄,92
晋中,山西,太原,太原,93
吕梁,山西,太原,太原,94
忻州,山西,太原,太原,95
朔州,山西,太原,太原,96
大同,山西,太原,太原,97
运城,山西,侯马,太原,98
阳泉,山西,太原,太原,99
长治,山西,侯马,太原,100
晋城,山西,侯马,太原,101
乌兰察布,内蒙古,呼和浩特,呼和浩特,102
巴彦淖尔,内蒙古,呼和浩特,呼和浩特,103
乌海,内蒙古,银川,呼和浩特,104
鄂尔多斯,内蒙古,呼和浩特,呼和浩特,105
呼伦贝尔,内蒙古,哈尔滨,呼和浩特,106
赤峰,内蒙古,锦州,呼和浩特,107
锡林郭勒,内蒙古,呼和浩特,呼和浩特,108
通辽,内蒙古,沈阳,呼和浩特,109
兴安盟,内蒙古,长春,呼和浩特,110
阿拉善盟,内蒙古,银川,呼和浩特,111
辽阳,辽宁,沈阳,沈阳,112
铁岭,辽宁,沈阳,沈阳,113
抚顺,辽宁,沈阳,沈阳,114
鞍山,辽宁,沈阳,沈阳,115
营口,辽宁,沈阳,沈阳,116
本溪,辽宁,沈阳,沈阳,117
丹东,辽宁,沈阳,沈阳,118
朝阳,辽宁,沈阳,沈阳,119
阜新,辽宁,沈阳,沈阳,120
盘锦,辽宁,沈阳,沈阳,121
葫芦岛,辽宁,沈阳,沈阳,122
吉林,吉林,长春,长春,123
延边州,吉林,长春,长春,124
通化,吉林,长春,长春,125
白山,吉林,长春,长春,126
四平,吉林,长春,长春,127
辽源,吉林,长春,长春,128
白城,吉林,长春,长春,129
松原,吉林,长春,长春,130
绥化,黑龙江,哈尔滨,哈尔滨,131
伊春,黑龙江,哈尔滨,哈尔滨,132
佳木斯,黑龙江,哈尔滨,哈尔滨,133
鹤岗,黑龙江,哈尔滨,哈尔滨,134
七台河,黑龙江,哈尔滨,哈尔滨,135
双鸭山,黑龙江,哈尔滨,哈尔滨,136
牡丹江,黑龙江,哈尔滨,哈尔滨,137
鸡西,黑龙江,哈尔滨,哈尔滨,138
齐齐哈尔,黑龙江,哈尔滨,哈尔滨,139
大庆,黑龙江,哈尔滨,哈尔滨,140
