城市,经转量
北京,141
天津,94
石家庄,35
太原,64
呼和浩特,17
沈阳,241
长春,20
哈尔滨,68
上海,55
南京,57
杭州,261
合肥,150
福州,65
南昌,286
济南,76
郑州,347
武汉,284
长沙,283
广州,66
南宁,96
海口,3
重庆,71
成都,189
贵阳,71
昆明,70
拉萨,0
西安,51
兰州,26
西宁,1
银川,6
乌鲁木齐,29
唐山,21
廊坊,0
保定,0
侯马,0
包头,17
大连,0
锦州,0
常州,17
无锡,191
苏州,1
徐州,7
连云港,55
淮安,106
盐城,120
扬州,1
南通,10
湖州,77
嘉兴,34
宁波,12
台州,0
金华,59
义乌,0
温州,134
蚌埠,24
芜湖,25
安庆,0
厦门,274
泉州,403
鹰潭,0
赣州,17
潍坊,272
烟台,3
青岛,16
济宁,2
临沂,14
漯河,0
信阳,1
洛阳,5
荆州,0
襄阳,0
常德,0
衡阳,28
邵阳,0
汕头,37
深圳,167
东莞,1027
湛江,2
中山,43
柳州,16
南充,34
内江,0
大理州,0
宝鸡,0
阿克苏,0
喀什,0
衡水,0
邢台,3
邯郸,0
沧州,0
秦皇岛,0
承德,0
张家口,0
晋中,0
吕梁,0
忻州,0
朔州,0
大同,0
运城,0
阳泉,0
长治,0
晋城,0
乌兰察布,0
巴彦淖尔,0
乌海,0
鄂尔多斯,0
呼伦贝尔,0
赤峰,10
锡林郭勒,0
通辽,0
兴安盟,0
阿拉善盟,0
辽阳,0
铁岭,0
抚顺,0
鞍山,0
营口,0
本溪,0
丹东,0
朝阳,0
阜新,0
盘锦,45
葫芦岛,0
吉林,0
延边州,0
通化,0
白山,0
四平,0
辽源,1
白城,0
松原,0
绥化,0
伊春,0
佳木斯,0
鹤岗,0
七台河,0
双鸭山,0
牡丹江,0
鸡西,0
齐齐哈尔,1
大庆,0
黑河,0
大兴安岭,0
镇江,3
宿迁,0
泰州,20
绍兴,0
舟山,0
丽水,1
衢州,2
淮南,0
宿州,0
淮北,0
阜阳,23
亳州,0
六安,0
滁州,0
宣城,1
马鞍山,0
铜陵,0
黄山,0
池州,0
莆田,0
宁德,0
南平,11
漳州,3
龙岩,0
三明,0
九江,0
景德镇,0
上饶,0
宜春,33
萍乡,0
新余,0
吉安,0
抚州,0
聊城,0
德州,0
淄博,2
滨州,28
东营,0
威海,0
泰安,0
莱芜,0
菏泽,0
日照,0
枣庄,0
新乡,3
焦作,0
济源,0
安阳,7
濮阳,0
鹤壁,0
许昌,0
驻马店,2
周口,0
平顶山,2
三门峡,0
南阳,0
开封,0
商丘,0
天门,0
孝感,0
仙桃,8
潜江,0
黄石,0
鄂州,28
咸宁,0
黄冈,0
随州,0
十堰,1
神农架,0
宜昌,12
恩施州,0
荆门,10
湘潭,0
株洲,18
益阳,0
岳阳,0
湘西州,0
娄底,0
怀化,0
郴州,1
永州,0
张家界,0
清远,0
韶关,0
梅州,0
惠州,3
汕尾,1
河源,13
珠海,0
潮州,0
揭阳,0
茂名,0
肇庆,0
云浮,0
佛山,63
江门,35
阳江,0
崇左,0
百色,1
钦州,0
北海,0
玉林,0
贵港,0
防城港,1
桂林,0
贺州,1
梧州,5
来宾,0
河池,0
三亚,0
三沙,0
乐山,0
凉山州,0
攀枝花,237
德阳,0
眉山,0
绵阳,0
阿坝州,0
雅安,0
甘孜州,0
广元,0
遂宁,0
达州,0
巴中,0
广安,0
资阳,0
自贡,10
宜宾,3
泸州,0
毕节,0
六盘水,0
铜仁,0
黔东南州,0
黔南州,0
安顺,8
黔西南州,0
遵义,0
玉溪,0
曲靖,0
昭通,0
红河州,0
文山州,0
普洱,0
西双版纳州,0
怒江州,0
丽江,0
迪庆州,0
楚雄州,0
临沧,0
保山,1
德宏州,0
那曲,0
昌都,0
山南,0
日喀则,0
阿里,0
林芝,0
咸阳,0
渭南,0
延安,0
榆林,0
汉中,0
安康,0
商洛,0
铜川,0
白银,0
临夏州,0
武威,2
张掖,0
酒泉,0
嘉峪关,3
金昌,0
天水,3
定西,0
平凉,2
庆阳,0
陇南,0
甘南州,0
海北州,0
海东,0
黄南州,0
海南州,0
果洛州,0
玉树州,0
海西州,0
吴忠,0
石嘴山,0
中卫,0
固原,0
昌吉州,0
石河子,0
伊犁州,0
奎屯,0
博州,0
克拉玛依,2
塔城,0
阿勒泰,0
吐鲁番,0
哈密,0
巴州,0
克州,0
和田,0
