起点省会,终点省会,路由,邮件量,总的邮件量
北京,北京,[],[],0
北京,天津,['北京-天津'],[29],29
北京,石家庄,['北京-石家庄'],[24],24
北京,太原,['北京-太原'],[10],10
北京,呼和浩特,['北京-呼和浩特'],[12],12
北京,沈阳,['北京-沈阳'],[21],21
北京,长春,"['北京-长春', '北京-沈阳-长春']","[3, 1]",4
北京,哈尔滨,['北京-哈尔滨'],[15],15
北京,上海,['北京-上海'],[61],61
北京,南京,"['北京-南京', '北京-盐城-南京']","[6, 1]",7
北京,杭州,['北京-杭州'],[43],43
北京,合肥,['北京-合肥'],[8],8
北京,福州,"['北京-福州', '北京-泉州-福州']","[4, 1]",5
北京,南昌,['北京-南昌'],[9],9
北京,济南,"['北京-济南', '北京-潍坊-济南']","[10, 1]",11
北京,郑州,['北京-郑州'],[7],7
北京,武汉,['北京-武汉'],[16],16
北京,长沙,['北京-长沙'],[9],9
北京,广州,"['北京-广州', '北京-东莞-广州']","[17, 1]",18
北京,南宁,['北京-南宁'],[1],1
北京,海口,['北京-东莞-海口'],[2],2
北京,重庆,['北京-重庆'],[6],6
北京,成都,['北京-成都'],[12],12
北京,贵阳,"['北京-贵阳', '北京-成都-贵阳']","[2, 1]",3
北京,昆明,['北京-昆明'],[7],7
北京,拉萨,['北京-成都-贵阳-拉萨'],[1],1
北京,西安,['北京-西安'],[11],11
北京,兰州,"['北京-兰州', '北京-攀枝花-兰州']","[4, 1]",5
北京,西宁,['北京-兰州-西宁'],[1],1
北京,银川,['北京-西安-银川'],[2],2
北京,乌鲁木齐,"['北京-西安-乌鲁木齐', '北京-攀枝花-乌鲁木齐']","[1, 1]",2
天津,北京,['天津-北京'],[58],58
天津,天津,[],[],0
天津,石家庄,"['天津-石家庄', '天津-北京-石家庄']","[11, 1]",12
天津,太原,['天津-北京-太原'],[1],1
天津,呼和浩特,['天津-呼和浩特'],[8],8
天津,沈阳,"['天津-沈阳', '天津-北京-沈阳']","[1, 1]",2
天津,长春,[],[],0
天津,哈尔滨,['天津-北京-哈尔滨'],[1],1
天津,上海,"['天津-北京-上海', '天津-上海']","[3, 1]",4
天津,南京,['天津-盐城-南京'],[1],1
天津,杭州,['天津-杭州'],[1],1
天津,合肥,[],[],0
天津,福州,[],[],0
天津,南昌,[],[],0
天津,济南,"['天津-北京-潍坊-济南', '天津-北京-济南', '天津-济南']","[1, 1, 1]",3
天津,郑州,[],[],0
天津,武汉,['天津-武汉'],[1],1
天津,长沙,['天津-长沙'],[1],1
天津,广州,['天津-广州'],[1],1
天津,南宁,[],[],0
天津,海口,[],[],0
天津,重庆,[],[],0
天津,成都,['天津-成都'],[1],1
天津,贵阳,['天津-贵阳'],[1],1
天津,昆明,[],[],0
天津,拉萨,[],[],0
天津,西安,[],[],0
天津,兰州,[],[],0
天津,西宁,[],[],0
天津,银川,[],[],0
天津,乌鲁木齐,[],[],0
石家庄,北京,['石家庄-北京'],[6],6
石家庄,天津,['石家庄-天津'],[3],3
石家庄,石家庄,[],[],0
石家庄,太原,[],[],0
石家庄,呼和浩特,[],[],0
石家庄,沈阳,[],[],0
石家庄,长春,[],[],0
石家庄,哈尔滨,[],[],0
石家庄,上海,[],[],0
石家庄,南京,['石家庄-盐城-南京'],[1],1
石家庄,杭州,[],[],0
石家庄,合肥,[],[],0
石家庄,福州,[],[],0
石家庄,南昌,[],[],0
石家庄,济南,['石家庄-济南'],[15],15
石家庄,郑州,[],[],0
石家庄,武汉,[],[],0
石家庄,长沙,[],[],0
石家庄,广州,[],[],0
石家庄,南宁,[],[],0
石家庄,海口,[],[],0
石家庄,重庆,[],[],0
石家庄,成都,['石家庄-成都'],[4],4
石家庄,贵阳,[],[],0
石家庄,昆明,['石家庄-昆明'],[1],1
石家庄,拉萨,[],[],0
石家庄,西安,[],[],0
石家庄,兰州,[],[],0
石家庄,西宁,[],[],0
石家庄,银川,[],[],0
石家庄,乌鲁木齐,['石家庄-攀枝花-乌鲁木齐'],[5],5
太原,北京,[],[],0
太原,天津,[],[],0
太原,石家庄,[],[],0
太原,太原,[],[],0
太原,呼和浩特,[],[],0
太原,沈阳,[],[],0
太原,长春,[],[],0
太原,哈尔滨,[],[],0
太原,上海,[],[],0
太原,南京,[],[],0
太原,杭州,[],[],0
太原,合肥,[],[],0
太原,福州,[],[],0
太原,南昌,[],[],0
太原,济南,[],[],0
太原,郑州,[],[],0
太原,武汉,[],[],0
太原,长沙,[],[],0
太原,广州,[],[],0
太原,南宁,[],[],0
太原,海口,[],[],0
太原,重庆,[],[],0
太原,成都,[],[],0
太原,贵阳,['太原-攀枝花-贵阳'],[1],1
太原,昆明,[],[],0
太原,拉萨,[],[],0
太原,西安,[],[],0
太原,兰州,[],[],0
太原,西宁,[],[],0
太原,银川,[],[],0
太原,乌鲁木齐,[],[],0
呼和浩特,北京,[],[],0
呼和浩特,天津,[],[],0
呼和浩特,石家庄,[],[],0
呼和浩特,太原,[],[],0
呼和浩特,呼和浩特,[],[],0
呼和浩特,沈阳,[],[],0
呼和浩特,长春,[],[],0
呼和浩特,哈尔滨,[],[],0
呼和浩特,上海,[],[],0
呼和浩特,南京,[],[],0
呼和浩特,杭州,[],[],0
呼和浩特,合肥,[],[],0
呼和浩特,福州,[],[],0
呼和浩特,南昌,[],[],0
呼和浩特,济南,[],[],0
呼和浩特,郑州,[],[],0
呼和浩特,武汉,[],[],0
呼和浩特,长沙,[],[],0
呼和浩特,广州,[],[],0
呼和浩特,南宁,[],[],0
呼和浩特,海口,[],[],0
呼和浩特,重庆,[],[],0
呼和浩特,成都,[],[],0
呼和浩特,贵阳,[],[],0
呼和浩特,昆明,[],[],0
呼和浩特,拉萨,[],[],0
呼和浩特,西安,[],[],0
呼和浩特,兰州,[],[],0
呼和浩特,西宁,[],[],0
呼和浩特,银川,[],[],0
呼和浩特,乌鲁木齐,[],[],0
沈阳,北京,['沈阳-北京'],[3],3
沈阳,天津,[],[],0
沈阳,石家庄,[],[],0
沈阳,太原,[],[],0
沈阳,呼和浩特,['沈阳-呼和浩特'],[2],2
沈阳,沈阳,[],[],0
沈阳,长春,['沈阳-长春'],[30],30
沈阳,哈尔滨,['沈阳-哈尔滨'],[37],37
沈阳,上海,[],[],0
沈阳,南京,[],[],0
沈阳,杭州,[],[],0
沈阳,合肥,[],[],0
沈阳,福州,[],[],0
沈阳,南昌,[],[],0
沈阳,济南,[],[],0
沈阳,郑州,['沈阳-郑州'],[7],7
沈阳,武汉,['沈阳-武汉'],[2],2
沈阳,长沙,['沈阳-长沙'],[3],3
沈阳,广州,['沈阳-广州'],[2],2
沈阳,南宁,[],[],0
沈阳,海口,[],[],0
沈阳,重庆,[],[],0
沈阳,成都,[],[],0
沈阳,贵阳,[],[],0
沈阳,昆明,[],[],0
沈阳,拉萨,[],[],0
沈阳,西安,[],[],0
沈阳,兰州,['沈阳-攀枝花-兰州'],[1],1
沈阳,西宁,[],[],0
沈阳,银川,[],[],0
沈阳,乌鲁木齐,[],[],0
长春,北京,[],[],0
长春,天津,[],[],0
长春,石家庄,[],[],0
长春,太原,[],[],0
长春,呼和浩特,[],[],0
长春,沈阳,[],[],0
长春,长春,[],[],0
长春,哈尔滨,[],[],0
长春,上海,[],[],0
长春,南京,[],[],0
长春,杭州,[],[],0
长春,合肥,[],[],0
长春,福州,[],[],0
长春,南昌,[],[],0
长春,济南,[],[],0
长春,郑州,[],[],0
长春,武汉,[],[],0
长春,长沙,[],[],0
长春,广州,[],[],0
长春,南宁,[],[],0
长春,海口,[],[],0
长春,重庆,[],[],0
长春,成都,[],[],0
长春,贵阳,[],[],0
长春,昆明,[],[],0
长春,拉萨,[],[],0
长春,西安,[],[],0
长春,兰州,[],[],0
长春,西宁,[],[],0
长春,银川,[],[],0
长春,乌鲁木齐,[],[],0
哈尔滨,北京,[],[],0
哈尔滨,天津,[],[],0
哈尔滨,石家庄,[],[],0
哈尔滨,太原,[],[],0
哈尔滨,呼和浩特,[],[],0
哈尔滨,沈阳,[],[],0
哈尔滨,长春,[],[],0
哈尔滨,哈尔滨,[],[],0
哈尔滨,上海,['哈尔滨-盐城-上海'],[1],1
哈尔滨,南京,[],[],0
哈尔滨,杭州,[],[],0
哈尔滨,合肥,[],[],0
哈尔滨,福州,[],[],0
哈尔滨,南昌,[],[],0
哈尔滨,济南,[],[],0
哈尔滨,郑州,[],[],0
哈尔滨,武汉,[],[],0
哈尔滨,长沙,[],[],0
哈尔滨,广州,[],[],0
哈尔滨,南宁,[],[],0
哈尔滨,海口,[],[],0
哈尔滨,重庆,[],[],0
哈尔滨,成都,[],[],0
哈尔滨,贵阳,[],[],0
哈尔滨,昆明,[],[],0
哈尔滨,拉萨,[],[],0
哈尔滨,西安,[],[],0
哈尔滨,兰州,[],[],0
哈尔滨,西宁,[],[],0
哈尔滨,银川,[],[],0
哈尔滨,乌鲁木齐,[],[],0
上海,北京,"['上海-北京', '上海-无锡-北京', '上海-盐城-唐山-北京']","[77, 1, 1]",79
上海,天津,['上海-天津'],[18],18
上海,石家庄,"['上海-无锡-石家庄', '上海-无锡-盐城-石家庄', '上海-天津-石家庄', '上海-盐城-石家庄']","[1, 1, 2, 1]",5
上海,太原,['上海-太原'],[11],11
上海,呼和浩特,['上海-呼和浩特'],[3],3
上海,沈阳,"['上海-无锡-沈阳', '上海-沈阳', '上海-杭州-沈阳']","[2, 31, 1]",34
上海,长春,"['上海-长春', '上海-沈阳-长春']","[1, 1]",2
上海,哈尔滨,"['上海-哈尔滨', '上海-沈阳-哈尔滨']","[8, 1]",9
上海,上海,[],[],0
上海,南京,['上海-南京'],[13],13
上海,杭州,"['上海-无锡-杭州', '上海-杭州']","[7, 12]",19
上海,合肥,"['上海-无锡-合肥', '上海-合肥']","[1, 9]",10
上海,福州,['上海-福州'],[11],11
上海,南昌,['上海-南昌'],[9],9
上海,济南,"['上海-济南', '上海-青岛-济南', '上海-临沂-济南']","[5, 1, 1]",7
上海,郑州,"['上海-无锡-郑州', '上海-郑州']","[1, 24]",25
上海,武汉,"['上海-无锡-荆门-武汉', '上海-无锡-武汉', '上海-武汉']","[1, 1, 27]",29
上海,长沙,"['上海-无锡-长沙', '上海-长沙']","[2, 24]",26
上海,广州,"['上海-广州', '上海-深圳-广州']","[11, 1]",12
上海,南宁,['上海-南宁'],[7],7
上海,海口,"['上海-无锡-东莞-海口', '上海-东莞-海口']","[1, 2]",3
上海,重庆,"['上海-重庆', '上海-成都-重庆', '上海-南充-重庆']","[7, 1, 1]",9
上海,成都,"['上海-无锡-成都', '上海-成都']","[1, 16]",17
上海,贵阳,"['上海-无锡-贵阳', '上海-贵阳']","[1, 7]",8
上海,昆明,['上海-昆明'],[8],8
上海,拉萨,[],[],0
